"","PNAME","JCODE","E0M.1965","E0M.1970","E0M.1975","E0M.1980","E0M.1985","E0M.1990","E0M.1995","E0M.2000","E0M.2005","E0M.2010","E0M.2015","E0M.2020","E0F.1965","E0F.1970","E0F.1975","E0F.1980","E0F.1985","E0F.1990","E0F.1995","E0F.2000","E0F.2005","E0F.2010","E0F.2015","E0F.2020"
"1","Hokkaido",1,67.46,69.26,71.46,72.96,74.5,75.67,76.56,77.55,78.3,79.17,80.28,80.92,72.82,74.73,76.74,78.58,80.42,81.92,83.41,84.84,85.78,86.3,86.77,87.08
"2","Aomori",2,65.32,67.82,69.69,71.41,73.05,74.18,74.71,75.67,76.27,77.28,78.67,79.27,71.77,74.68,76.5,78.39,79.9,81.49,82.51,83.69,84.8,85.34,85.93,86.33
"3","Iwate",3,65.87,68.03,70.27,72.72,74.27,75.43,76.35,77.09,77.81,78.53,79.86,80.64,71.58,74.13,76.2,78.59,80.69,81.93,83.41,84.6,85.49,85.86,86.44,87.05
"4","Miyagi",4,67.29,69.49,71.5,73.4,75.11,76.29,77,77.71,78.6,79.65,80.99,81.7,73.19,75.3,77,78.85,80.69,82.15,83.32,84.74,85.75,86.39,87.16,87.51
"5","Akita",5,65.39,67.56,70.17,72.48,74.12,75.29,75.92,76.81,77.44,78.22,79.51,80.48,71.24,74.14,75.86,78.64,80.29,81.8,83.12,84.32,85.19,85.93,86.38,87.1
"6","Yamagata",6,66.49,68.71,70.96,73.12,74.99,76.37,76.99,77.69,78.54,79.97,80.52,81.39,71.94,74.46,76.35,78.58,80.86,82.1,83.23,84.57,85.72,86.28,86.96,87.38
"7","Fukushima",7,66.46,68.52,70.71,72.9,74.38,75.71,76.47,77.18,77.97,78.84,80.12,80.6,72.04,74.46,76.35,78.46,80.25,81.95,82.93,84.21,85.45,86.05,86.4,86.81
"8","Ibaraki",8,66.99,68.32,70.58,72.78,74.35,75.67,76.32,77.2,78.35,79.09,80.28,80.89,72.52,74.43,76.12,78.35,79.97,81.59,82.87,84.21,85.26,85.83,86.33,86.94
"9","Tochigi",9,66.47,68.3,70.61,72.86,74.36,75.38,76.12,77.14,78.01,79.06,80.1,81,72.44,74.27,76.31,78.13,79.98,81.3,82.76,84.04,85.03,85.66,86.24,86.89
"10","Gunma",10,67.34,69.22,71.23,73.72,75.11,76.36,76.98,77.86,78.78,79.4,80.61,81.13,72.38,74.5,76.42,78.46,80.39,81.9,83.12,84.47,85.47,85.91,86.84,87.18
"11","Saitama",11,67.26,69.38,71.88,73.79,75.2,76.31,76.95,78.05,79.05,79.62,80.82,81.44,72.45,74.62,76.61,78.68,80.65,81.75,82.92,84.34,85.29,85.88,86.66,87.31
"12","Chiba",12,67.71,69.61,71.99,73.85,75.27,76.46,76.89,78.05,78.95,79.88,80.96,81.45,73.29,75.33,77.07,79.07,80.88,82.19,83.19,84.51,85.49,86.2,86.91,87.5
"13","Tokyo",13,69.84,71.3,73.19,74.46,75.6,76.35,76.91,77.98,79.36,79.82,81.07,81.77,74.7,75.96,77.89,79.49,81.09,82.09,83.12,84.38,85.7,86.39,87.26,87.86
"14","Kanagawa",14,69.05,70.85,72.95,74.52,75.59,76.7,77.2,78.24,79.52,80.25,81.32,82.04,74.08,75.97,77.85,79.55,81.22,82.35,83.35,84.74,86.03,86.63,87.24,87.89
"15","Niigata",15,67.18,69.07,71.14,73.29,74.83,76.49,76.98,77.66,78.75,79.47,80.69,81.29,72.19,74.65,76.76,78.97,80.86,82.5,83.66,85.19,86.27,86.96,87.32,87.57
"16","Toyama",16,66.7,69.18,71.11,73.27,74.81,76.14,77.16,78.03,79.07,79.71,80.61,81.74,72.04,74.78,76.56,78.93,80.8,82.35,83.86,85.24,86.32,86.75,87.42,87.97
"17","Ishikawa",17,67.14,69.77,71.63,73.48,75.28,76.38,77.16,77.96,79.26,79.71,81.04,82,72.4,75.04,76.58,78.88,80.89,82.24,83.54,85.18,86.46,86.75,87.28,88.11
"18","Fukui",18,67.96,70.18,72.21,74.24,75.64,76.84,77.51,78.55,79.47,80.47,81.27,81.98,72.87,75.04,76.81,79.18,81.01,82.36,83.63,85.39,86.25,86.94,87.54,87.84
"19","Yamanashi",19,67.56,69.42,71.66,73.26,75.02,76.26,76.82,77.9,78.89,79.54,80.85,81.71,73.29,75.38,77.43,79.21,80.94,82.39,83.67,85.21,86.17,86.65,87.22,87.94
"20","Nagano",20,68.45,70.46,72.4,74.5,75.91,77.44,78.08,78.9,79.84,80.88,81.75,82.68,72.81,75.22,77,79.44,81.13,82.71,83.89,85.31,86.48,87.18,87.67,88.23
"21","Gifu",21,68.9,70.69,72.18,74.13,75.53,76.72,77.17,78.1,79,79.92,81,81.9,73.03,74.96,76.41,78.47,80.31,81.69,83,84.33,85.56,86.26,86.82,87.51
"22","Shizuoka",22,68.21,70.31,72.32,74.1,75.48,76.58,77.22,78.15,79.35,79.95,80.95,81.59,74.07,75.88,77.64,79.62,81.37,82.47,83.7,84.95,86.06,86.22,87.1,87.48
"23","Aichi",23,69,70.74,72.39,74.08,75.44,76.32,76.9,78.01,79.05,79.71,81.1,81.77,73.67,75.28,76.63,78.73,80.51,81.63,82.8,84.22,85.4,86.22,86.86,87.52
"24","Mie",24,68.61,70.23,71.75,73.83,74.87,76.03,76.76,77.9,78.9,79.68,80.86,81.68,73.32,75.29,76.84,79.07,80.61,82.01,83.02,84.49,85.58,86.25,86.99,87.59
"25","Shiga",25,67.26,69.66,71.51,73.61,75.34,76.36,77.13,78.19,79.6,80.58,81.78,82.73,72.48,74.75,76.47,78.64,80.63,81.88,83.2,84.92,86.17,86.69,87.57,88.26
"26","Kyoto",26,69.18,71.08,72.63,74.2,75.39,76.39,77.14,78.15,79.34,80.21,81.4,82.24,73.75,75.66,77.3,79.19,80.68,82.07,83.44,84.81,85.92,86.65,87.35,88.25
"27","Osaka",27,68.02,70.16,71.6,72.96,74.01,75.02,75.9,76.97,78.21,78.99,80.23,80.81,73.3,75.21,76.57,78.36,79.84,81.16,82.52,84.01,85.2,85.93,86.73,87.37
"28","Hyogo",28,68.29,70.32,71.82,73.31,74.47,75.59,75.54,77.57,78.72,79.59,80.92,81.72,73.48,75.63,77.13,78.84,80.4,81.64,81.83,84.34,85.62,86.14,87.07,87.9
"29","Nara",29,67.97,70.29,72,73.43,74.87,76.15,77.14,78.36,79.25,80.14,81.36,82.4,72.89,75.16,76.76,78.65,80.27,81.89,82.96,84.8,85.84,86.6,87.25,87.95
"30","Wakayama",30,67.75,69.48,71.25,72.79,74.19,75.23,76.07,77.01,77.97,79.07,79.94,81.03,73.57,75.19,76.81,78.47,80.13,81.7,82.71,84.23,85.34,85.69,86.47,87.36
"31","Tottori",31,67.18,69.29,71.42,73.02,74.4,75.66,76.09,77.39,78.26,79.01,80.17,81.34,73.39,75.44,77.45,79.45,81.11,82.33,83.59,84.91,86.27,86.08,87.27,87.91
"32","Shimane",32,67.77,69.54,71.55,73.38,75.3,76.15,76.9,77.54,78.49,79.51,80.79,81.63,73.01,75.37,77.53,79.42,81.6,83.09,84.03,85.3,86.57,87.07,87.64,88.21
"33","Okayama",33,68.68,70.69,72.25,74.21,75.28,76.32,77.03,77.8,79.22,79.77,81.03,81.9,74.03,76.37,77.76,79.78,81.31,82.7,83.81,85.25,86.49,86.93,87.67,88.29
"34","Hiroshima",34,68.61,70.15,72.04,73.69,75.19,76.22,76.77,77.76,79.06,79.91,81.08,81.95,73.93,75.8,77.48,79.51,80.94,82.38,83.66,85.09,86.27,86.94,87.33,88.16
"35","Yamaguchi",35,67.3,69.16,71.2,72.96,74.45,75.74,76.36,77.03,78.11,79.03,80.51,81.12,72.98,75.33,77.27,79.14,81.16,82.46,83.57,84.61,85.63,86.07,86.88,87.43
"36","Tokushima",36,66.69,68.56,70.71,72.54,74.35,75.47,76.21,77.19,78.09,79.44,80.32,81.27,72.14,74.3,76,78.48,80.56,81.93,83.17,84.49,85.67,86.21,86.66,87.42
