1,"ïΩê¨12îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ3ï\Å@îNóÓÅi5çŒäKãâÅjÅCíjèóï êlå˚ÅiëçîNóÓãyÇ—äOçëêlÅ|ì¡åfÅj"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","0Å`4çŒ","5Å`9çŒ","10Å`14çŒ","15Å`19çŒ","20Å`24çŒ","25Å`29çŒ","30Å`34çŒ","35Å`39çŒ","40Å`44çŒ","45Å`49çŒ","50Å`54çŒ","55Å`59çŒ","60Å`64çŒ","65Å`69çŒ","70Å`74çŒ","75Å`79çŒ","80Å`84çŒ","85Å`89çŒ","90Å`94çŒ","95Å`99çŒ","100çŒà»è„","ïsè⁄","ÅiçƒåfÅjëçîNóÓ","ÅiçƒåfÅjäOçëêl","ëçêî","0Å`4çŒ","5Å`9çŒ","10Å`14çŒ","15Å`19çŒ","20Å`24çŒ","25Å`29çŒ","30Å`34çŒ","35Å`39çŒ","40Å`44çŒ","45Å`49çŒ","50Å`54çŒ","55Å`59çŒ","60Å`64çŒ","65Å`69çŒ","70Å`74çŒ","75Å`79çŒ","80Å`84çŒ","85Å`89çŒ","90Å`94çŒ","95Å`99çŒ","100çŒà»è„","ïsè⁄","ÅiçƒåfÅjëçîNóÓ","ÅiçƒåfÅjäOçëêl","ëçêî","0Å`4çŒ","5Å`9çŒ","10Å`14çŒ","15Å`19çŒ","20Å`24çŒ","25Å`29çŒ","30Å`34çŒ","35Å`39çŒ","40Å`44çŒ","45Å`49çŒ","50Å`54çŒ","55Å`59çŒ","60Å`64çŒ","65Å`69çŒ","70Å`74çŒ","75Å`79çŒ","80Å`84çŒ","85Å`89çŒ","90Å`94çŒ","95Å`99çŒ","100çŒà»è„","ïsè⁄","ÅiçƒåfÅjëçîNóÓ","ÅiçƒåfÅjäOçëêl"
6,"25201","","","","","ëÂí√és","ëçêî",288240,14592,15213,16897,18441,20361,22281,19861,19644,18762,20144,24228,19195,15655,14305,11798,7650,4769,3064,1083,231,19,47,11292567,3539,140242,7532,7819,8759,9325,10048,10938,9641,9634,9191,9991,11891,9565,7657,6842,5549,2988,1595,920,292,35,6,24,5333324,1712,147998,7060,7394,8138,9116,10313,11343,10220,10010,9571,10153,12337,9630,7998,7463,6249,4662,3174,2144,791,196,13,23,5959243,1827
7,"25201","0010","","","","ëÂí√és","äãêÏç‚â∫í¨",60,-,2,2,1,-,3,1,2,3,3,4,3,4,7,17,3,3,2,-,-,-,-,3481,-,26,-,2,-,-,-,2,1,1,1,2,1,1,2,3,8,1,1,-,-,-,-,-,1437,-,34,-,-,2,1,-,1,-,1,2,1,3,2,2,4,9,2,2,2,-,-,-,-,2044,-
8,"25201","0020","","","","ëÂí√és","äãêÏñÿåÀå˚í¨",31,-,2,-,-,-,1,1,-,1,-,2,5,4,5,3,3,3,1,-,-,-,-,1867,-,14,-,1,-,-,-,1,1,-,-,-,-,2,3,2,1,2,1,-,-,-,-,-,811,-,17,-,1,-,-,-,-,-,-,1,-,2,3,1,3,2,1,2,1,-,-,-,-,1056,-
9,"25201","0030","","","","ëÂí√és","äãêÏíÜë∫í¨",54,-,3,2,-,1,1,1,2,4,2,3,5,13,7,4,2,2,2,-,-,-,-,2968,-,29,-,2,2,-,-,1,1,2,3,1,2,1,7,3,3,-,1,-,-,-,-,-,1449,-,25,-,1,-,-,1,-,-,-,1,1,1,4,6,4,1,2,1,2,-,-,-,-,1519,-
10,"25201","0040","","","","ëÂí√és","äãêÏñVë∫í¨",59,2,3,2,1,3,3,4,3,2,4,3,2,6,6,9,2,3,1,-,-,-,-,2898,-,27,-,-,1,-,3,2,2,2,-,4,1,1,2,3,4,1,1,-,-,-,-,-,1344,-,32,2,3,1,1,-,1,2,1,2,-,2,1,4,3,5,1,2,1,-,-,-,-,1554,-
11,"25201","0050","","","","ëÂí√és","äãêÏí¨ãèí¨",20,-,-,-,-,1,1,-,-,-,1,1,2,-,3,4,4,2,1,-,-,-,-,1313,-,10,-,-,-,-,1,-,-,-,-,1,-,1,-,-,3,2,1,1,-,-,-,-,667,-,10,-,-,-,-,-,1,-,-,-,-,1,1,-,3,1,2,1,-,-,-,-,-,646,-
12,"25201","0060","","","","ëÂí√és","äãêÏî~Émñÿí¨",62,-,-,2,4,-,2,4,1,1,4,3,5,7,7,8,6,3,4,1,-,-,-,3615,-,24,-,-,-,2,-,-,2,1,-,-,3,1,4,4,3,2,2,-,-,-,-,-,1401,-,38,-,-,2,2,-,2,2,-,1,4,-,4,3,3,5,4,1,4,1,-,-,-,2214,-
13,"25201","0070","","","","ëÂí√és","äãêÏä—à‰í¨",24,-,-,2,2,-,-,-,-,1,3,2,1,2,2,5,3,-,-,-,1,-,-,1359,-,11,-,-,-,2,-,-,-,-,-,2,1,-,1,1,1,3,-,-,-,-,-,-,615,-,13,-,-,2,-,-,-,-,-,1,1,1,1,1,1,4,-,-,-,-,1,-,-,744,-
