1,"ïΩê¨12îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ7ï\Å@èZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıÅC1ê¢ë—ìñÇΩÇËêlàıÅC1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœãyÇ—ëçâÑÇ◊ñ êœ"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","àÍî ê¢ë—êî","","","","","","","","","àÍî ê¢ë—êlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—"
6,"25201","","","","","ëÂí√és","ëçêî",100843,98396,96933,68508,5648,18705,4072,1463,2447,284515,281895,278621,219415,13571,35743,9892,3274,2620,2.8213658856,2.8649030448,2.8743668307,3.2027646406,2.4027974504,1.910879444,2.4292730845,2.2378673958,1.0706988149,-,98.8045652262,99.4785367212,121.0170491038,47.3045325779,44.9858861267,59.7937131631,54.1496924129,-,-,9721974,9642753,8290636,267176,841461,243480,79221,-
7,"25201","0010","","","","ëÂí√és","äãêÏç‚â∫í¨",28,28,28,28,-,-,-,-,-,60,60,60,60,-,-,-,-,-,2.1428571429,2.1428571429,2.1428571429,2.1428571429,-,-,-,-,-,-,129.8928571429,129.8928571429,129.8928571429,-,-,-,-,-,-,3637,3637,3637,-,-,-,-,-
8,"25201","0020","","","","ëÂí√és","äãêÏñÿåÀå˚í¨",13,13,13,13,-,-,-,-,-,31,31,31,31,-,-,-,-,-,2.3846153846,2.3846153846,2.3846153846,2.3846153846,-,-,-,-,-,-,153.6923076923,153.6923076923,153.6923076923,-,-,-,-,-,-,1998,1998,1998,-,-,-,-,-
9,"25201","0030","","","","ëÂí√és","äãêÏíÜë∫í¨",29,29,29,20,-,1,8,-,-,54,54,54,45,-,1,8,-,-,1.8620689655,1.8620689655,1.8620689655,2.25,-,1,1,-,-,-,94.1379310345,94.1379310345,124.75,-,50,23.25,-,-,-,2730,2730,2495,-,50,186,-,-
10,"25201","0040","","","","ëÂí√és","äãêÏñVë∫í¨",26,22,22,20,-,1,1,-,4,59,55,55,49,-,4,2,-,4,2.2692307692,2.5,2.5,2.45,-,4,2,-,1,-,139.5,139.5,145.45,-,96,64,-,-,-,3069,3069,2909,-,96,64,-,-
11,"25201","0050","","","","ëÂí√és","äãêÏí¨ãèí¨",12,12,12,11,-,1,-,-,-,20,20,20,18,-,2,-,-,-,1.6666666667,1.6666666667,1.6666666667,1.6363636364,-,2,-,-,-,-,140.3333333333,140.3333333333,147.0909090909,-,66,-,-,-,-,1684,1684,1618,-,66,-,-,-
12,"25201","0060","","","","ëÂí√és","äãêÏî~Émñÿí¨",26,26,26,24,-,2,-,-,-,62,62,62,58,-,4,-,-,-,2.3846153846,2.3846153846,2.3846153846,2.4166666667,-,2,-,-,-,-,113.7307692308,113.7307692308,118.2083333333,-,60,-,-,-,-,2957,2957,2837,-,120,-,-,-
13,"25201","0070","","","","ëÂí√és","äãêÏä—à‰í¨",9,9,9,9,-,-,-,-,-,24,24,24,24,-,-,-,-,-,2.6666666667,2.6666666667,2.6666666667,2.6666666667,-,-,-,-,-,-,130,130,130,-,-,-,-,-,-,1170,1170,1170,-,-,-,-,-
