1,"ïΩê¨12îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ8ï\Å@èZëÓÇÃåöÇƒï˚Åi7ãÊï™Åjï èZëÓÇ…èZÇﬁéÂê¢ë—êîÅCéÂê¢ë—êlàıÅC1ê¢ë—ìñÇΩÇËêlàıÅC1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœãyÇ—ëçâÑÇ◊ñ êœ"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","éÂê¢ë—êî","","","","","","","","","éÂê¢ë—êlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6Å`10äK","11äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6Å`10äK","11äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6Å`10äK","11äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6Å`10äK","11äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6Å`10äK","11äKåöà»è„","ÇªÇÃëº"
6,"25201","","","","","ëÂí√és","ëçêî",96933,61953,3759,31083,6540,15254,6166,3123,138,278621,200389,8768,69102,11400,33325,15933,8444,362,2.8743668307,3.2345326296,2.3325352487,2.2231444841,1.7431192661,2.1846728727,2.5840090821,2.7038104387,2.6231884058,99.4785367212,126.6376930899,56.8611332801,50.5349869704,36.4996941896,46.3483676413,64.614336685,72.5779699007,91.652173913,9642753,7845585,213741,1570779,238708,706998,398412,226661,12648
7,"25201","0010","","","","ëÂí√és","äãêÏç‚â∫í¨",28,28,-,-,-,-,-,-,-,60,60,-,-,-,-,-,-,-,2.1428571429,2.1428571429,-,-,-,-,-,-,-,129.8928571429,129.8928571429,-,-,-,-,-,-,-,3637,3637,-,-,-,-,-,-,-
8,"25201","0020","","","","ëÂí√és","äãêÏñÿåÀå˚í¨",13,12,-,-,-,-,-,-,1,31,29,-,-,-,-,-,-,2,2.3846153846,2.4166666667,-,-,-,-,-,-,2,153.6923076923,163.75,-,-,-,-,-,-,33,1998,1965,-,-,-,-,-,-,33
9,"25201","0030","","","","ëÂí√és","äãêÏíÜë∫í¨",29,22,7,-,-,-,-,-,-,54,47,7,-,-,-,-,-,-,1.8620689655,2.1363636364,1,-,-,-,-,-,-,94.1379310345,116.4090909091,24.1428571429,-,-,-,-,-,-,2730,2561,169,-,-,-,-,-,-
10,"25201","0040","","","","ëÂí√és","äãêÏñVë∫í¨",22,22,-,-,-,-,-,-,-,55,55,-,-,-,-,-,-,-,2.5,2.5,-,-,-,-,-,-,-,139.5,139.5,-,-,-,-,-,-,-,3069,3069,-,-,-,-,-,-,-
11,"25201","0050","","","","ëÂí√és","äãêÏí¨ãèí¨",12,12,-,-,-,-,-,-,-,20,20,-,-,-,-,-,-,-,1.6666666667,1.6666666667,-,-,-,-,-,-,-,140.3333333333,140.3333333333,-,-,-,-,-,-,-,1684,1684,-,-,-,-,-,-,-
12,"25201","0060","","","","ëÂí√és","äãêÏî~Émñÿí¨",26,26,-,-,-,-,-,-,-,62,62,-,-,-,-,-,-,-,2.3846153846,2.3846153846,-,-,-,-,-,-,-,113.7307692308,113.7307692308,-,-,-,-,-,-,-,2957,2957,-,-,-,-,-,-,-
13,"25201","0070","","","","ëÂí√és","äãêÏä—à‰í¨",9,9,-,-,-,-,-,-,-,24,24,-,-,-,-,-,-,-,2.6666666667,2.6666666667,-,-,-,-,-,-,-,130,130,-,-,-,-,-,-,-,1170,1170,-,-,-,-,-,-,-
14,"25201","0080","","","","ëÂí√és","äãêÏç◊êÏí¨",20,20,-,-,-,-,-,-,-,46,46,-,-,-,-,-,-,-,2.3,2.3,-,-,-,-,-,-,-,123.45,123.45,-,-,-,-,-,-,-,2469,2469,-,-,-,-,-,-,-
15,"25201","0090","","","","ëÂí√és","à…çÅóßìÏèØí¨",143,143,-,-,-,-,-,-,-,619,619,-,-,-,-,-,-,-,4.3286713287,4.3286713287,-,-,-,-,-,-,-,196.027972028,196.027972028,-,-,-,-,-,-,-,28032,28032,-,-,-,-,-,-,-
