1,"ïΩê¨17îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ7ï\Å@èZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıÅC1ê¢ë—ìñÇΩÇËêlàıÅC1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœãyÇ—ëçâÑÇ◊ñ êœ"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","àÍî ê¢ë—êî","","","","","","","","","àÍî ê¢ë—êlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•ìsésçƒê∂ã@ç\•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•ìsésçƒê∂ã@ç\•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•ìsésçƒê∂ã@ç\•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•ìsésçƒê∂ã@ç\•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•ìsésçƒê∂ã@ç\•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—"
6,"25201","","","","","ëÂí√és","ëçêî",111004,109199,108110,77241,5521,22157,3191,1089,1805,296825,294865,292519,232925,12118,39738,7738,2346,1960,2.6740027386,2.7002536653,2.7057533993,3.0155616836,2.1948922297,1.7934738457,2.4249451583,2.1542699725,1.0858725762,-,99.1240029671,99.6325594302,120.3000867415,47.3086397392,45.9086970258,62.9229081793,48.63728191,-,-,10824242,10771276,9292099,261191,1017199,200787,52966,-
7,"25201","0010","","","","ëÂí√és","äãêÏç‚â∫í¨",24,24,24,24,-,-,-,-,-,56,56,56,56,-,-,-,-,-,2.3333333333,2.3333333333,2.3333333333,2.3333333333,-,-,-,-,-,-,145.3333333333,145.3333333333,145.3333333333,-,-,-,-,-,-,3488,3488,3488,-,-,-,-,-
8,"25201","0020","","","","ëÂí√és","äãêÏñÿåÀå˚í¨",14,14,14,14,-,-,-,-,-,29,29,29,29,-,-,-,-,-,2.0714285714,2.0714285714,2.0714285714,2.0714285714,-,-,-,-,-,-,145.9285714286,145.9285714286,145.9285714286,-,-,-,-,-,-,2043,2043,2043,-,-,-,-,-
9,"25201","0030","","","","ëÂí√és","äãêÏíÜë∫í¨",26,26,26,21,-,1,4,-,-,50,50,50,44,-,2,4,-,-,1.9230769231,1.9230769231,1.9230769231,2.0952380952,-,2,1,-,-,-,127.2692307692,127.2692307692,138.5238095238,-,165,58.5,-,-,-,3309,3309,2909,-,165,234,-,-
10,"25201","0040","","","","ëÂí√és","äãêÏñVë∫í¨",25,25,24,21,-,2,1,1,-,60,60,59,52,-,3,4,1,-,2.4,2.4,2.4583333333,2.4761904762,-,1.5,4,1,-,-,124.6,127.0416666667,135.7619047619,-,68,62,66,-,-,3115,3049,2851,-,136,62,66,-
11,"25201","0050","","","","ëÂí√és","äãêÏí¨ãèí¨",12,12,12,10,-,2,-,-,-,26,26,26,16,-,10,-,-,-,2.1666666667,2.1666666667,2.1666666667,1.6,-,5,-,-,-,-,160.3333333333,160.3333333333,162.7,-,148.5,-,-,-,-,1924,1924,1627,-,297,-,-,-
12,"25201","0060","","","","ëÂí√és","äãêÏî~Émñÿí¨",25,25,25,23,-,2,-,-,-,58,58,58,54,-,4,-,-,-,2.32,2.32,2.32,2.347826087,-,2,-,-,-,-,111.88,111.88,115.0869565217,-,75.5,-,-,-,-,2797,2797,2647,-,151,-,-,-
13,"25201","0070","","","","ëÂí√és","äãêÏä—à‰í¨",9,9,9,9,-,-,-,-,-,22,22,22,22,-,-,-,-,-,2.4444444444,2.4444444444,2.4444444444,2.4444444444,-,-,-,-,-,-,139,139,139,-,-,-,-,-,-,1251,1251,1251,-,-,-,-,-
14,"25201","0080","","","","ëÂí√és","äãêÏç◊êÏí¨",19,19,19,18,-,1,-,-,-,45,45,45,40,-,5,-,-,-,2.3684210526,2.3684210526,2.3684210526,2.2222222222,-,5,-,-,-,-,104.8421052632,104.8421052632,108.5,-,40,-,-,-,-,1992,1992,1953,-,40,-,-,-
15,"25201","0090","","","","ëÂí√és","à…çÅóßìÏèØí¨",149,149,149,141,-,5,3,-,-,575,575,575,549,-,15,11,-,-,3.8590604027,3.8590604027,3.8590604027,3.8936170213,-,3,3.6666666667,-,-,-,191.1677852349,191.1677852349,197.7943262411,-,63.4,92.6666666667,-,-,-,28484,28484,27889,-,317,278,-,-
16,"25201","0100","","","","ëÂí√és","à…çÅóßå¸ç›íní¨",57,57,57,53,-,4,-,-,-,212,212,212,203,-,9,-,-,-,3.7192982456,3.7192982456,3.7192982456,3.8301886792,-,2.25,-,-,-,-,166.8421052632,166.8421052632,175.4905660377,-,52.25,-,-,-,-,9510,9510,9301,-,209,-,-,-
17,"25201","0110","","","","ëÂí√és","à…çÅóßê∂í√í¨",74,74,74,72,-,2,-,-,-,290,290,290,282,-,8,-,-,-,3.9189189189,3.9189189189,3.9189189189,3.9166666667,-,4,-,-,-,-,194.7162162162,194.7162162162,196.375,-,135,-,-,-,-,14409,14409,14139,-,270,-,-,-
