1,"ïΩê¨17îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ11ï\Å@éYã∆ÅiëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆"
6,"25201","","","","","ëÂí√és","ëçêî",140563,1852,60,101,28,10570,24234,905,2964,5165,25294,4206,2030,8321,13550,8539,1144,22738,5597,3265,82732,1201,49,62,25,8990,17822,827,2233,4529,12432,2100,1395,3463,3605,4059,724,13061,4220,1935,57831,651,11,39,3,1580,6412,78,731,636,12862,2106,635,4858,9945,4480,420,9677,1377,1330
7,"25201","0010","","","","ëÂí√és","äãêÏç‚â∫í¨",28,5,3,-,-,-,4,-,-,1,2,-,-,-,3,2,2,4,1,1,15,2,3,-,-,-,2,-,-,1,1,-,-,-,1,-,2,2,1,-,13,3,-,-,-,-,2,-,-,-,1,-,-,-,2,2,-,2,-,1
8,"25201","0020","","","","ëÂí√és","äãêÏñÿåÀå˚í¨",14,1,-,-,-,-,1,-,-,-,-,-,-,-,1,1,3,7,-,-,7,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,4,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,-,-
9,"25201","0030","","","","ëÂí√és","äãêÏíÜë∫í¨",21,-,7,-,-,1,2,-,-,1,-,-,-,-,1,1,3,4,1,-,15,-,5,-,-,1,2,-,-,1,-,-,-,-,-,-,3,3,-,-,6,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-
10,"25201","0040","","","","ëÂí√és","äãêÏñVë∫í¨",18,-,-,-,-,-,1,-,-,-,2,-,-,8,-,2,4,-,1,-,12,-,-,-,-,-,1,-,-,-,1,-,-,5,-,2,2,-,1,-,6,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,2,-,-,-
11,"25201","0050","","","","ëÂí√és","äãêÏí¨ãèí¨",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
12,"25201","0060","","","","ëÂí√és","äãêÏî~Émñÿí¨",27,-,1,-,-,1,1,-,-,-,7,-,-,3,3,1,3,6,1,-,14,-,1,-,-,1,1,-,-,-,2,-,-,1,1,1,2,4,-,-,13,-,-,-,-,-,-,-,-,-,5,-,-,2,2,-,1,2,1,-
13,"25201","0070","","","","ëÂí√és","äãêÏä—à‰í¨",5,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,1,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-
14,"25201","0080","","","","ëÂí√és","äãêÏç◊êÏí¨",13,1,-,-,-,-,2,-,-,1,1,-,-,-,1,2,2,3,-,-,8,1,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,3,-,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-
