1,"ïΩê¨22îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"ëÊ3ï\Å@îNóÓÅi5çŒäKãâÅjÅCíjèóï êlå˚ÅiëçîNóÓÅCïΩãœîNóÓãyÇ—äOçëêlÅ\ì¡åfÅjÅ|í¨íöÅEéöìô","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"","","","","","","","","","","1) ñ≥çëê–ãyÇ—çëñºÅuïsè⁄ÅvÇä‹ÇﬁÅB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002"
5,"","","","","","","","","","","to6-3.0000","to6-3.0001","to6-3.0002","to6-3.0003","to6-3.0004","to6-3.0005","to6-3.0006","to6-3.0007","to6-3.0008","to6-3.0009","to6-3.0010","to6-3.0011","to6-3.0012","to6-3.0013","to6-3.0014","to6-3.0015","to6-3.0016","to6-3.0017","to6-3.0018","to6-3.0019","to6-3.0020","to6-3.0021","to6-3.0022","to6-3.0023","to6-3.0024","to6-3.0025","to6-3.0026","to6-3.0027","to6-3.0028","to6-3.0029","to6-3.0030","to6-3.0000","to6-3.0001","to6-3.0002","to6-3.0003","to6-3.0004","to6-3.0005","to6-3.0006","to6-3.0007","to6-3.0008","to6-3.0009","to6-3.0010","to6-3.0011","to6-3.0012","to6-3.0013","to6-3.0014","to6-3.0015","to6-3.0016","to6-3.0017","to6-3.0018","to6-3.0019","to6-3.0020","to6-3.0021","to6-3.0022","to6-3.0023","to6-3.0024","to6-3.0025","to6-3.0026","to6-3.0027","to6-3.0028","to6-3.0029","to6-3.0030","to6-3.0000","to6-3.0001","to6-3.0002","to6-3.0003","to6-3.0004","to6-3.0005","to6-3.0006","to6-3.0007","to6-3.0008","to6-3.0009","to6-3.0010","to6-3.0011","to6-3.0012","to6-3.0013","to6-3.0014","to6-3.0015","to6-3.0016","to6-3.0017","to6-3.0018","to6-3.0019","to6-3.0020","to6-3.0021","to6-3.0022","to6-3.0023","to6-3.0024","to6-3.0025","to6-3.0026","to6-3.0027","to6-3.0028","to6-3.0029","to6-3.0030"
6,"","","","","","","","","","","ëçêîÅiíjèóï Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ínàÊéØï î‘çÜ","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ìsìπï{åßñº","ésãÊí¨ë∫ñº","ëÂéöÅEí¨ñº","éöÅEíöñ⁄ñº","ëçêîÅiîNóÓÅj","0Å`4çŒ","5Å`9çŒ","10Å`14çŒ","15Å`19çŒ","20Å`24çŒ","25Å`29çŒ","30Å`34çŒ","35Å`39çŒ","40Å`44çŒ","45Å`49çŒ","50Å`54çŒ","55Å`59çŒ","60Å`64çŒ","65Å`69çŒ","70Å`74çŒ","75Å`79çŒ","80Å`84çŒ","85Å`89çŒ","90Å`94çŒ","95Å`99çŒ","100çŒà»è„","ïsè⁄","ÅiçƒåfÅj15çŒñ¢ñû","ÅiçƒåfÅj15Å`64çŒ","ÅiçƒåfÅj65çŒà»è„","ÅiçƒåfÅj75çŒà»è„","ÅiçƒåfÅj85çŒà»è„","ëçîNóÓ","ïΩãœîNóÓ","ÅiçƒåfÅjäOçëêl 1)","ëçêîÅiîNóÓÅj","0Å`4çŒ","5Å`9çŒ","10Å`14çŒ","15Å`19çŒ","20Å`24çŒ","25Å`29çŒ","30Å`34çŒ","35Å`39çŒ","40Å`44çŒ","45Å`49çŒ","50Å`54çŒ","55Å`59çŒ","60Å`64çŒ","65Å`69çŒ","70Å`74çŒ","75Å`79çŒ","80Å`84çŒ","85Å`89çŒ","90Å`94çŒ","95Å`99çŒ","100çŒà»è„","ïsè⁄","ÅiçƒåfÅj15çŒñ¢ñû","ÅiçƒåfÅj15Å`64çŒ","ÅiçƒåfÅj65çŒà»è„","ÅiçƒåfÅj75çŒà»è„","ÅiçƒåfÅj85çŒà»è„","ëçîNóÓ","ïΩãœîNóÓ","ÅiçƒåfÅjäOçëêl 1)","ëçêîÅiîNóÓÅj","0Å`4çŒ","5Å`9çŒ","10Å`14çŒ","15Å`19çŒ","20Å`24çŒ","25Å`29çŒ","30Å`34çŒ","35Å`39çŒ","40Å`44çŒ","45Å`49çŒ","50Å`54çŒ","55Å`59çŒ","60Å`64çŒ","65Å`69çŒ","70Å`74çŒ","75Å`79çŒ","80Å`84çŒ","85Å`89çŒ","90Å`94çŒ","95Å`99çŒ","100çŒà»è„","ïsè⁄","ÅiçƒåfÅj15çŒñ¢ñû","ÅiçƒåfÅj15Å`64çŒ","ÅiçƒåfÅj65çŒà»è„","ÅiçƒåfÅj75çŒà»è„","ÅiçƒåfÅj85çŒà»è„","ëçîNóÓ","ïΩãœîNóÓ","ÅiçƒåfÅjäOçëêl 1)"
8,"25201","","1","","","","é†âÍåß","ëÂí√és","","",337634,15386,16654,17350,17440,18087,18190,21652,26790,23615,22192,20329,21743,26281,20705,16061,13603,9855,5363,2381,751,106,3100,49390,216319,68825,32059,8601,14345361,43.3816233925,3626,163250,7875,8543,8918,8888,8996,8797,10600,13197,11471,10899,9821,10607,12734,10032,7587,6052,4045,1646,569,129,5,1839,25336,106010,30065,12446,2349,6715504,42.1049959420,1744,174384,7511,8111,8432,8552,9091,9393,11052,13593,12144,11293,10508,11136,13547,10673,8474,7551,5810,3717,1812,622,101,1261,24054,110309,38760,19613,6252,7629857,44.5718853070,1882
9,"25201","0010","2","","","","é†âÍåß","ëÂí√és","äãêÏç‚â∫í¨","",55,3,2,1,1,1,1,-,4,3,3,3,4,2,3,4,4,13,-,1,2,-,-,6,22,27,20,3,3168,58.1000000000,1,21,1,-,-,1,-,-,-,2,2,2,1,3,-,1,2,2,4,-,-,-,-,-,1,11,9,6,-,1180,56.6904761905,1,34,2,2,1,-,1,1,-,2,1,1,2,1,2,2,2,2,9,-,1,2,-,-,5,11,18,14,3,1988,58.9705882353,-
10,"25201","0020","2","","","","é†âÍåß","ëÂí√és","äãêÏñÿåÀå˚í¨","",24,-,-,-,-,-,-,-,2,1,-,-,2,3,4,5,3,2,1,1,-,-,-,-,8,16,7,2,1620,68.0000000000,-,12,-,-,-,-,-,-,-,1,1,-,-,1,1,1,4,1,1,1,-,-,-,-,-,4,8,3,1,794,66.6666666667,-,12,-,-,-,-,-,-,-,1,-,-,-,1,2,3,1,2,1,-,1,-,-,-,-,4,8,4,1,826,69.3333333333,-
11,"25201","0030","2","","","","é†âÍåß","ëÂí√és","äãêÏíÜë∫í¨","",40,2,-,1,-,1,-,1,1,1,-,2,1,2,5,10,4,5,1,3,-,-,-,3,9,28,13,4,2573,64.8250000000,2,19,1,-,1,-,1,-,-,1,1,-,2,-,1,1,5,1,3,-,1,-,-,-,2,6,11,5,1,1128,59.8684210526,1,21,1,-,-,-,-,-,1,-,-,-,-,1,1,4,5,3,2,1,2,-,-,-,1,3,17,8,3,1445,69.3095238095,1
12,"25201","0040","2","","","","é†âÍåß","ëÂí√és","äãêÏñVë∫í¨","",50,1,2,2,2,4,1,-,2,2,2,3,4,3,2,6,5,7,-,2,-,-,-,5,23,22,14,2,2714,54.7800000000,-,18,-,-,-,-,2,-,-,1,1,1,1,4,1,1,1,2,3,-,-,-,-,-,-,11,7,5,-,1060,59.3888888889,-,32,1,2,2,2,2,1,-,1,1,1,2,-,2,1,5,3,4,-,2,-,-,-,5,12,15,9,2,1654,52.1875000000,-
13,"25201","0050","2","","","","é†âÍåß","ëÂí√és","äãêÏí¨ãèí¨","",21,2,3,1,-,-,-,2,1,3,-,-,1,1,2,-,1,2,2,-,-,-,-,6,8,7,5,2,925,44.5476190476,-,11,1,2,-,-,-,-,1,-,2,-,-,1,-,1,-,-,2,1,-,-,-,-,3,4,4,3,1,504,46.3181818182,-,10,1,1,1,-,-,-,1,1,1,-,-,-,1,1,-,1,-,1,-,-,-,-,3,4,3,2,1,421,42.6000000000,-
14,"25201","0060","2","","","","é†âÍåß","ëÂí√és","äãêÏî~Émñÿí¨","",45,-,-,-,1,1,2,-,1,4,3,-,3,3,5,7,7,6,1,-,1,-,-,-,18,27,15,2,2856,63.9666666667,-,18,-,-,-,-,-,1,-,-,2,2,-,1,2,1,4,4,1,-,-,-,-,-,-,8,10,5,-,1134,63.5000000000,-,27,-,-,-,1,1,1,-,1,2,1,-,2,1,4,3,3,5,1,-,1,-,-,-,10,17,10,2,1722,64.2777777778,-
15,"25201","0070","2","","","","é†âÍåß","ëÂí√és","äãêÏä—à‰í¨","",20,-,-,-,-,-,-,-,-,-,-,1,5,2,3,2,2,4,1,-,-,-,-,-,8,12,7,1,1392,70.1000000000,-,9,-,-,-,-,-,-,-,-,-,-,-,3,1,1,1,1,1,1,-,-,-,-,-,4,5,3,1,626,70.0555555556,-,11,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,1,3,-,-,-,-,-,-,4,7,4,-,766,70.1363636364,-
16,"25201","0080","2","","","","é†âÍåß","ëÂí√és","äãêÏç◊êÏí¨","",31,1,3,1,1,-,-,1,1,2,-,1,2,1,2,3,3,8,1,-,-,-,-,5,9,17,12,1,1764,57.4032258065,1,15,1,1,-,1,-,-,1,-,1,-,-,2,1,2,1,1,2,1,-,-,-,-,2,6,7,4,1,814,54.7666666667,-,16,-,2,1,-,-,-,-,1,1,-,1,-,-,-,2,2,6,-,-,-,-,-,3,3,10,8,-,950,59.8750000000,1
17,"25201","0090","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìÏèØí¨","",519,7,14,25,20,25,32,28,24,23,36,41,50,45,33,24,31,35,17,9,-,-,-,46,324,149,92,26,25889,50.3824662813,6,255,2,8,12,9,12,17,12,14,12,17,21,29,22,16,12,17,15,4,4,-,-,-,22,165,68,40,8,12568,49.7862745098,6,264,5,6,13,11,13,15,16,10,11,19,20,21,23,17,12,14,20,13,5,-,-,-,24,159,81,52,18,13321,50.9583333333,-
18,"25201","0100","2","","","","é†âÍåß","ëÂí√és","à…çÅóßå¸ç›íní¨","",269,4,5,5,15,24,10,14,12,13,18,15,8,18,9,20,21,25,13,14,6,-,-,14,147,108,79,33,14486,54.3513011152,2,124,2,2,3,9,11,8,7,5,7,8,12,4,11,3,5,11,11,2,1,2,-,-,7,82,35,27,5,6025,49.0887096774,1,145,2,3,2,6,13,2,7,7,6,10,3,4,7,6,15,10,14,11,13,4,-,-,7,65,73,52,28,8461,58.8517241379,1
19,"25201","0110","2","","","","é†âÍåß","ëÂí√és","à…çÅóßê∂í√í¨","",267,9,8,16,12,8,15,15,11,14,16,24,22,29,12,20,14,16,4,-,1,1,-,33,166,68,36,6,12734,48.1928838951,-,139,2,6,8,5,6,10,6,7,7,7,12,11,19,4,13,8,6,2,-,-,-,-,16,90,33,16,2,6608,48.0395683453,-,128,7,2,8,7,2,5,9,4,7,9,12,11,10,8,7,6,10,2,-,1,1,-,17,76,35,20,4,6126,48.3593750000,-
20,"25201","0120","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ç›íní¨","",77,2,4,4,2,4,3,3,6,7,2,5,4,8,1,7,7,6,1,1,-,-,-,10,44,23,15,2,3754,49.2532467532,1,38,1,3,1,1,3,1,1,3,2,1,4,3,5,-,3,4,2,-,-,-,-,-,5,24,9,6,-,1796,47.7631578947,1,39,1,1,3,1,1,2,2,3,5,1,1,1,3,1,4,3,4,1,1,-,-,-,5,20,14,9,2,1958,50.7051282051,-
