1,"ïΩê¨22îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"ëÊ12ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"","","","","","","","","","","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002"
4,"","","","","","","","","","","sanL.0000","sanL.0001","sanL.0002","sanL.0003","sanL.0004","sanL.0005","sanL.0006","sanL.0007","sanL.0008","sanL.0009","sanL.0010","sanL.0011","sanL.0012","sanL.0013","sanL.0014","sanL.0015","sanL.0016","sanL.0017","sanL.0018","sanL.0019","sanL.0020","sanL.0021","sanL.0000","sanL.0001","sanL.0002","sanL.0003","sanL.0004","sanL.0005","sanL.0006","sanL.0007","sanL.0008","sanL.0009","sanL.0010","sanL.0011","sanL.0012","sanL.0013","sanL.0014","sanL.0015","sanL.0016","sanL.0017","sanL.0018","sanL.0019","sanL.0020","sanL.0021","sanL.0000","sanL.0001","sanL.0002","sanL.0003","sanL.0004","sanL.0005","sanL.0006","sanL.0007","sanL.0008","sanL.0009","sanL.0010","sanL.0011","sanL.0012","sanL.0013","sanL.0014","sanL.0015","sanL.0016","sanL.0017","sanL.0018","sanL.0019","sanL.0020","sanL.0021"
5,"","","","","","","","","","","ëçêîÅiíjèóï Åj","","","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","","","",""
6,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ínàÊéØï î‘çÜ","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ìsìπï{åßñº","ésãÊí¨ë∫ñº","ëÂéöÅEí¨ñº","éöÅEíöñ⁄ñº","ëçêîÅiéYã∆Åj","Ç`î_ã∆ÅCó—ã∆","Ç§Çøî_ã∆","Çaãôã∆","Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆","Çcåöê›ã∆","Çdêªë¢ã∆","ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","ÇfÅ@èÓïÒí êMã∆","Çgâ^óAã∆ÅCóXï÷ã∆","ÇhâµîÑã∆ÅCè¨îÑã∆","Çiã‡óZã∆ÅCï€åØã∆","ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆","Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆","Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆","Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆","Çnã≥àÁÅCäwèKéxâáã∆","Çoà„ó√ÅCïüéÉ","Çpï°çáÉTÅ[ÉrÉXéñã∆","ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj","Çråˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj","Çsï™óﬁïsî\ÇÃéYã∆","ëçêîÅiéYã∆Åj","Ç`î_ã∆ÅCó—ã∆","Ç§Çøî_ã∆","Çaãôã∆","Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆","Çcåöê›ã∆","Çdêªë¢ã∆","ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","ÇfÅ@èÓïÒí êMã∆","Çgâ^óAã∆ÅCóXï÷ã∆","ÇhâµîÑã∆ÅCè¨îÑã∆","Çiã‡óZã∆ÅCï€åØã∆","ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆","Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆","Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆","Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆","Çnã≥àÁÅCäwèKéxâáã∆","Çoà„ó√ÅCïüéÉ","Çpï°çáÉTÅ[ÉrÉXéñã∆","ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj","Çråˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj","Çsï™óﬁïsî\ÇÃéYã∆","ëçêîÅiéYã∆Åj","Ç`î_ã∆ÅCó—ã∆","Ç§Çøî_ã∆","Çaãôã∆","Çbçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆","Çcåöê›ã∆","Çdêªë¢ã∆","ÇeìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","ÇfÅ@èÓïÒí êMã∆","Çgâ^óAã∆ÅCóXï÷ã∆","ÇhâµîÑã∆ÅCè¨îÑã∆","Çiã‡óZã∆ÅCï€åØã∆","ÇjïsìÆéYã∆ÅCï®ïií¿ë›ã∆","Çkäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆","Çlèhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆","Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆","Çnã≥àÁÅCäwèKéxâáã∆","Çoà„ó√ÅCïüéÉ","Çpï°çáÉTÅ[ÉrÉXéñã∆","ÇqÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj","Çråˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj","Çsï™óﬁïsî\ÇÃéYã∆"
7,"25201","","1","","","","é†âÍåß","ëÂí√és","","",154573,1701,1606,111,15,9762,24903,962,3035,6378,25297,4538,2687,6233,9714,5704,9400,17542,660,8863,6191,10877,88565,1128,1049,71,11,8215,18623,883,2242,5316,12263,2148,1758,4239,3780,2394,4431,4663,372,5563,4501,5964,66008,573,557,40,4,1547,6280,79,793,1062,13034,2390,929,1994,5934,3310,4969,12879,288,3300,1690,4913
8,"25201","0010","2","","","","é†âÍåß","ëÂí√és","äãêÏç‚â∫í¨","",13,2,-,-,-,-,3,-,-,1,1,-,-,-,-,-,-,1,1,1,2,1,9,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,1,1,-,1,1,4,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
9,"25201","0020","2","","","","é†âÍåß","ëÂí√és","äãêÏñÿåÀå˚í¨","",9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,3,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,-,-
10,"25201","0030","2","","","","é†âÍåß","ëÂí√és","äãêÏíÜë∫í¨","",13,3,-,-,-,1,4,-,-,2,-,-,-,-,-,-,-,-,-,2,1,-,9,2,-,-,-,1,3,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,4,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
11,"25201","0040","2","","","","é†âÍåß","ëÂí√és","äãêÏñVë∫í¨","",21,1,-,1,-,-,1,-,-,-,1,-,-,-,9,-,2,1,1,2,2,-,10,-,-,-,-,-,1,-,-,-,1,-,-,-,4,-,-,-,1,1,2,-,11,1,-,1,-,-,-,-,-,-,-,-,-,-,5,-,2,1,-,1,-,-
