1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ6ï\Å@ê¢ë—ÇÃâ∆ë∞óﬁå^Åi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—ÇPê¢ë—ìñÇΩÇËêlàıÅi6çŒñ¢ñûÅE18çŒñ¢ñûÅE65çŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êîÅC65çŒà»è„ê¢ë—àıÇÃÇ›ÇÃàÍî ê¢ë—êîãyÇ—3ê¢ë„ê¢ë—Å\ì¡åfÅjÅ|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,ÇPê¢ë—ìñÇΩÇËêlàı,,,,,,,,,,ÅiçƒåfÅjÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj18çŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj65çŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj65çŒà»è„ê¢ë—àıÇÃÇ›ÇÃàÍî ê¢ë—êî,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—
6,"25201","","1","","","","é†âÍåß","ëÂí√és","","",135957,95794,86080,29675,44531,9714,920,39153,90,6654,334875,293167,251436,59350,163700,41731,2329,39153,226,32589,2.4630949491,3.0603900035,2.9209572491,2.0000000000,3.6760908131,4.2959645872,2.5315217391,1.0000000000,2.5111111111,4.8976555455,13744,13707,12571,-,11962,1136,37,-,-,1100,34204,33993,30249,1,26861,3744,98,113,-,3593,53645,39812,31244,18299,7896,8568,283,13550,-,6050,29378,15733,15184,14881,12,549,95,13550,-,-
7,"25201","0010","2","","","","é†âÍåß","ëÂí√és","äãêÏç‚â∫í¨","",19,11,8,4,1,3,-,8,-,2,38,30,18,8,4,12,-,8,-,9,2.0000000000,2.7272727273,2.2500000000,2.0000000000,4.0000000000,4.0000000000,-,1.0000000000,-,4.5000000000,1,1,1,-,1,-,-,-,-,-,2,2,1,-,1,1,-,-,-,1,15,8,5,2,-,3,-,7,-,2,9,2,2,2,-,-,-,7,-,-
8,"25201","0020","2","","","","é†âÍåß","ëÂí√és","äãêÏñÿåÀå˚í¨","",10,5,5,4,1,-,-,5,-,-,17,12,12,8,4,-,-,5,-,-,1.7000000000,2.4000000000,2.4000000000,2.0000000000,4.0000000000,-,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,4,3,1,-,-,5,-,-,7,2,2,2,-,-,-,5,-,-
9,"25201","0030","2","","","","é†âÍåß","ëÂí√és","äãêÏíÜë∫í¨","",15,8,6,4,2,2,-,7,-,1,31,24,14,8,6,10,-,7,-,7,2.0666666667,3.0000000000,2.3333333333,2.0000000000,3.0000000000,5.0000000000,-,1.0000000000,-,7.0000000000,2,2,1,-,1,1,-,-,-,1,2,2,1,-,1,1,-,-,-,1,12,7,5,4,1,2,-,5,-,1,9,4,4,4,-,-,-,5,-,-
10,"25201","0040","2","","","","é†âÍåß","ëÂí√és","äãêÏñVë∫í¨","",22,11,10,7,2,1,-,11,-,1,38,27,23,14,7,4,-,11,-,4,1.7272727273,2.4545454545,2.3000000000,2.0000000000,3.5000000000,4.0000000000,-,1.0000000000,-,4.0000000000,1,1,1,-,1,-,-,-,-,-,2,2,2,-,2,-,-,-,-,-,13,8,7,6,-,1,-,5,-,1,11,6,6,6,-,-,-,5,-,-
11,"25201","0050","2","","","","é†âÍåß","ëÂí√és","äãêÏí¨ãèí¨","",10,7,7,2,3,-,-,3,-,-,24,21,21,4,11,-,-,3,-,-,2.4000000000,3.0000000000,3.0000000000,2.0000000000,3.6666666667,-,-,1.0000000000,-,-,1,1,1,-,1,-,-,-,-,-,4,4,4,-,3,-,-,-,-,-,6,3,3,2,-,-,-,3,-,-,5,2,2,2,-,-,-,3,-,-
12,"25201","0060","2","","","","é†âÍåß","ëÂí√és","äãêÏî~Émñÿí¨","",18,13,11,8,1,2,-,5,-,2,37,32,24,16,3,8,-,5,-,8,2.0555555556,2.4615384615,2.1818181818,2.0000000000,3.0000000000,4.0000000000,-,1.0000000000,-,4.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,9,7,1,2,-,4,-,2,9,5,5,5,-,-,-,4,-,-
13,"25201","0070","2","","","","é†âÍåß","ëÂí√és","äãêÏä—à‰í¨","",11,9,8,5,2,1,-,2,-,-,27,25,22,10,10,3,-,2,-,-,2.4545454545,2.7777777778,2.7500000000,2.0000000000,5.0000000000,3.0000000000,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,2,-,-,-,-,-,8,6,5,4,-,1,-,2,-,-,6,4,4,4,-,-,-,2,-,-
14,"25201","0080","2","","","","é†âÍåß","ëÂí√és","äãêÏç◊êÏí¨","",12,5,5,4,1,-,-,7,-,-,19,12,12,8,4,-,-,7,-,-,1.5833333333,2.4000000000,2.4000000000,2.0000000000,4.0000000000,-,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,3,3,-,-,-,6,-,-,9,3,3,3,-,-,-,6,-,-
15,"25201","0090","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìÏèØí¨","",145,129,82,29,42,47,1,15,-,31,441,424,224,58,143,200,2,15,-,149,3.0413793103,3.2868217054,2.7317073171,2.0000000000,3.4047619048,4.2553191489,2.0000000000,1.0000000000,-,4.8064516129,6,6,4,-,4,2,-,-,-,2,26,26,11,-,11,15,-,-,-,15,104,92,46,21,16,46,-,12,-,30,34,22,20,18,-,2,-,12,-,-
16,"25201","0100","2","","","","é†âÍåß","ëÂí√és","à…çÅóßå¸ç›íní¨","",61,54,32,17,12,22,1,6,-,18,198,189,84,34,44,105,3,6,-,93,3.2459016393,3.5000000000,2.6250000000,2.0000000000,3.6666666667,4.7727272727,3.0000000000,1.0000000000,-,5.1666666667,4,4,2,-,2,2,-,-,-,2,12,12,6,-,5,6,-,-,-,6,44,40,18,11,5,22,1,3,-,18,14,11,10,10,-,1,-,3,-,-
17,"25201","0110","2","","","","é†âÍåß","ëÂí√és","à…çÅóßê∂í√í¨","",76,62,31,13,14,31,-,14,-,24,253,239,90,26,53,149,-,14,-,128,3.3289473684,3.8548387097,2.9032258065,2.0000000000,3.7857142857,4.8064516129,-,1.0000000000,-,5.3333333333,7,7,2,-,2,5,-,-,-,5,18,18,6,-,5,12,-,-,-,12,58,50,19,12,4,31,-,8,-,24,17,9,8,8,-,1,-,8,-,-
18,"25201","0120","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ç›íní¨","",23,17,13,3,5,4,-,6,-,4,65,59,34,6,18,25,-,6,-,25,2.8260869565,3.4705882353,2.6153846154,2.0000000000,3.6000000000,6.2500000000,-,1.0000000000,-,6.2500000000,2,2,1,-,1,1,-,-,-,1,4,4,3,-,3,1,-,-,-,1,17,13,9,3,1,4,-,4,-,4,8,4,4,3,-,-,-,4,-,-
