1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ7ï\Å@èZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—1ê¢ë—ìñÇΩÇËêlàı Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,1ê¢ë—ìñÇΩÇËêlàı,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv
6,"25201","","1","","","","é†âÍåß","ëÂí√és","","",135957,134094,133317,97948,5183,27685,2501,777,1856,7,334875,332114,330529,269022,9676,46261,5570,1585,2746,15,2.4630949491,2.4767252823,2.4792712107,2.7465798179,1.8668724677,1.6709770634,2.2271091563,2.0398970399,1.4795258621,2.1428571429
7,"25201","0010","2","","","","é†âÍåß","ëÂí√és","äãêÏç‚â∫í¨","",19,19,19,19,-,-,-,-,-,-,38,38,38,38,-,-,-,-,-,-,2.0000000000,2.0000000000,2.0000000000,2.0000000000,-,-,-,-,-,-
8,"25201","0020","2","","","","é†âÍåß","ëÂí√és","äãêÏñÿåÀå˚í¨","",10,10,10,10,-,-,-,-,-,-,17,17,17,17,-,-,-,-,-,-,1.7000000000,1.7000000000,1.7000000000,1.7000000000,-,-,-,-,-,-
9,"25201","0030","2","","","","é†âÍåß","ëÂí√és","äãêÏíÜë∫í¨","",15,15,15,14,-,-,1,-,-,-,31,31,31,30,-,-,1,-,-,-,2.0666666667,2.0666666667,2.0666666667,2.1428571429,-,-,1.0000000000,-,-,-
10,"25201","0040","2","","","","é†âÍåß","ëÂí√és","äãêÏñVë∫í¨","",22,19,19,17,-,-,2,-,3,-,38,35,35,31,-,-,4,-,3,-,1.7272727273,1.8421052632,1.8421052632,1.8235294118,-,-,2.0000000000,-,1.0000000000,-
11,"25201","0050","2","","","","é†âÍåß","ëÂí√és","äãêÏí¨ãèí¨","",10,10,10,7,-,3,-,-,-,-,24,24,24,13,-,11,-,-,-,-,2.4000000000,2.4000000000,2.4000000000,1.8571428571,-,3.6666666667,-,-,-,-
12,"25201","0060","2","","","","é†âÍåß","ëÂí√és","äãêÏî~Émñÿí¨","",18,18,18,18,-,-,-,-,-,-,37,37,37,37,-,-,-,-,-,-,2.0555555556,2.0555555556,2.0555555556,2.0555555556,-,-,-,-,-,-
13,"25201","0070","2","","","","é†âÍåß","ëÂí√és","äãêÏä—à‰í¨","",11,11,11,11,-,-,-,-,-,-,27,27,27,27,-,-,-,-,-,-,2.4545454545,2.4545454545,2.4545454545,2.4545454545,-,-,-,-,-,-
14,"25201","0080","2","","","","é†âÍåß","ëÂí√és","äãêÏç◊êÏí¨","",12,12,12,12,-,-,-,-,-,-,19,19,19,19,-,-,-,-,-,-,1.5833333333,1.5833333333,1.5833333333,1.5833333333,-,-,-,-,-,-
15,"25201","0090","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìÏèØí¨","",145,142,141,137,-,4,-,1,3,-,441,434,433,422,-,11,-,1,7,-,3.0413793103,3.0563380282,3.0709219858,3.0802919708,-,2.7500000000,-,1.0000000000,2.3333333333,-
