1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ11ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,
4,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆
5,"25201","","1","","","","é†âÍåß","ëÂí√és","","",153125,1629,1541,95,16,9308,25212,959,3211,6255,23986,4270,2989,5920,9371,5377,9732,20692,808,9306,6436,7553,86049,1140,1068,60,10,7793,18890,859,2385,5197,11098,2024,1898,3906,3598,2257,4435,5590,505,5567,4679,4158,67076,489,473,35,6,1515,6322,100,826,1058,12888,2246,1091,2014,5773,3120,5297,15102,303,3739,1757,3395
6,"25201","0010","2","","","","é†âÍåß","ëÂí√és","äãêÏç‚â∫í¨","",15,2,-,-,-,-,2,-,-,1,2,-,-,-,1,-,-,3,-,-,-,4,10,2,-,-,-,-,2,-,-,1,2,-,-,-,-,-,-,1,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,2
7,"25201","0020","2","","","","é†âÍåß","ëÂí√és","äãêÏñÿåÀå˚í¨","",7,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,2,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1
8,"25201","0030","2","","","","é†âÍåß","ëÂí√és","äãêÏíÜë∫í¨","",11,5,-,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,1,1,-,8,3,-,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,1,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
9,"25201","0040","2","","","","é†âÍåß","ëÂí√és","äãêÏñVë∫í¨","",15,-,-,-,-,-,1,-,-,-,2,-,-,-,6,-,-,1,1,1,1,2,9,-,-,-,-,-,1,-,-,-,1,-,-,-,4,-,-,-,1,-,1,1,6,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,-,1,-,1
10,"25201","0050","2","","","","é†âÍåß","ëÂí√és","äãêÏí¨ãèí¨","",8,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,1,-,-,1,4,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1
11,"25201","0060","2","","","","é†âÍåß","ëÂí√és","äãêÏî~Émñÿí¨","",20,2,-,-,-,-,-,-,-,-,3,-,-,-,2,1,2,2,-,5,1,2,9,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,3,-,1,11,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,1,2,-,2,1,1
12,"25201","0070","2","","","","é†âÍåß","ëÂí√és","äãêÏä—à‰í¨","",5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,1,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
13,"25201","0080","2","","","","é†âÍåß","ëÂí√és","äãêÏç◊êÏí¨","",6,-,-,-,-,-,1,-,-,-,1,-,-,2,1,-,-,-,-,1,-,-,4,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
14,"25201","0090","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìÏèØí¨","",240,26,26,-,-,18,43,1,7,5,34,5,2,8,8,10,13,28,1,13,7,11,135,19,19,-,-,16,27,1,6,5,15,2,2,4,2,2,5,7,1,10,5,6,105,7,7,-,-,2,16,-,1,-,19,3,-,4,6,8,8,21,-,3,2,5
15,"25201","0100","2","","","","é†âÍåß","ëÂí√és","à…çÅóßå¸ç›íní¨","",113,9,9,-,-,14,18,-,1,3,17,3,-,3,7,6,7,6,-,15,2,2,63,5,5,-,-,13,9,-,1,3,6,2,-,3,3,5,-,-,-,10,2,1,50,4,4,-,-,1,9,-,-,-,11,1,-,-,4,1,7,6,-,5,-,1
16,"25201","0110","2","","","","é†âÍåß","ëÂí√és","à…çÅóßê∂í√í¨","",124,11,10,-,-,6,21,3,1,4,17,6,-,2,10,5,5,10,1,13,4,5,75,7,6,-,-,6,17,2,1,4,10,2,-,2,2,3,2,2,1,8,3,3,49,4,4,-,-,-,4,1,-,-,7,4,-,-,8,2,3,8,-,5,1,2
17,"25201","0120","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ç›íní¨","",38,10,10,-,-,2,3,-,2,1,3,-,-,2,1,-,1,4,-,-,1,8,22,7,7,-,-,2,1,-,2,1,1,-,-,2,-,-,-,1,-,-,1,4,16,3,3,-,-,-,2,-,-,-,2,-,-,-,1,-,1,3,-,-,-,4
18,"25201","0130","2","","","","é†âÍåß","ëÂí√és","à…çÅóßñkç›íní¨","",49,1,1,-,-,7,8,-,-,3,6,1,-,1,1,4,4,4,1,4,1,3,26,-,-,-,-,6,4,-,-,3,2,1,-,-,-,1,2,1,1,4,-,1,23,1,1,-,-,1,4,-,-,-,4,-,-,1,1,3,2,3,-,-,1,2
19,"25201","0140","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ç›íní¨","",138,8,8,-,-,16,18,-,1,4,17,2,-,2,11,5,11,18,2,10,5,8,78,6,6,-,-,14,11,-,1,3,9,2,-,1,2,3,5,6,2,6,3,4,60,2,2,-,-,2,7,-,-,1,8,-,-,1,9,2,6,12,-,4,2,4
20,"25201","0150","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ó¥âÿí¨","",240,5,5,-,-,35,31,-,1,16,27,6,-,3,19,4,6,28,1,34,7,17,142,5,5,-,-,28,23,-,-,13,13,3,-,2,5,2,3,5,1,26,4,9,98,-,-,-,-,7,8,-,1,3,14,3,-,1,14,2,3,23,-,8,3,8
21,"25201","0160","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ó¥âÿí¨","",78,2,2,-,-,4,8,-,2,4,12,-,1,2,4,2,3,19,-,3,3,9,41,1,1,-,-,3,3,-,1,4,9,-,-,1,2,-,1,6,-,3,3,4,37,1,1,-,-,1,5,-,1,-,3,-,1,1,2,2,2,13,-,-,-,5
22,"25201","0170","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìríÜí¨","",65,6,6,-,-,9,9,-,-,1,6,1,-,1,3,1,2,15,1,4,-,6,34,4,4,-,-,7,6,-,-,1,3,-,-,1,-,1,2,2,-,3,-,4,31,2,2,-,-,2,3,-,-,-,3,1,-,-,3,-,-,13,1,1,-,2
23,"25201","0180","2","","","","é†âÍåß","ëÂí√és","í¨íöéöÉRÅ[Éh0180ÇÃåv","",2878,46,45,1,1,183,430,20,62,136,482,69,54,94,182,116,177,381,26,174,116,128,1633,32,31,1,1,149,295,18,50,121,225,36,35,63,73,52,79,105,18,112,91,77,1245,14,14,-,-,34,135,2,12,15,257,33,19,31,109,64,98,276,8,62,25,51
24,"25201","018000","3","","","","é†âÍåß","ëÂí√és","éRïSçáÇÃãu","",116,2,1,-,-,13,22,-,-,2,12,2,2,4,2,2,7,25,1,6,5,9,74,2,1,-,-,12,17,-,-,2,5,1,1,4,2,1,3,12,1,2,4,5,42,-,-,-,-,1,5,-,-,-,7,1,1,-,-,1,4,13,-,4,1,4
25,"25201","018001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇPíöñ⁄",605,8,8,-,-,27,82,3,21,17,85,12,12,25,43,26,51,90,8,35,39,21,347,7,7,-,-,20,58,3,17,15,42,7,9,18,17,14,25,24,6,18,32,15,258,1,1,-,-,7,24,-,4,2,43,5,3,7,26,12,26,66,2,17,7,6
26,"25201","018002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇQíöñ⁄",601,13,13,-,-,42,81,3,7,35,120,9,13,23,27,25,33,69,3,44,22,32,315,8,8,-,-,35,52,2,3,31,48,4,6,12,8,11,12,18,2,28,17,18,286,5,5,-,-,7,29,1,4,4,72,5,7,11,19,14,21,51,1,16,5,14
27,"25201","018003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇRíöñ⁄",41,1,1,-,-,1,6,-,1,5,5,-,-,1,3,3,2,4,-,5,-,4,25,1,1,-,-,-,2,-,-,4,1,-,-,1,2,3,2,1,-,5,-,3,16,-,-,-,-,1,4,-,1,1,4,-,-,-,1,-,-,3,-,-,-,1
28,"25201","018004","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇSíöñ⁄",186,18,18,-,-,11,26,-,4,12,31,4,2,5,10,14,8,17,1,10,3,10,112,11,11,-,-,8,21,-,4,12,17,3,2,2,4,7,3,6,-,7,3,2,74,7,7,-,-,3,5,-,-,-,14,1,-,3,6,7,5,11,1,3,-,8
29,"25201","018005","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇTíöñ⁄",923,3,3,1,-,73,140,8,18,49,165,21,18,16,85,33,49,126,7,54,18,39,521,2,2,1,-,62,93,7,16,43,80,9,14,10,37,11,22,29,5,39,15,26,402,1,1,-,-,11,47,1,2,6,85,12,4,6,48,22,27,97,2,15,3,13
30,"25201","018006","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇUíöñ⁄",406,1,1,-,1,16,73,6,11,16,64,21,7,20,12,13,27,50,6,20,29,13,239,1,1,-,1,12,52,6,10,14,32,12,3,16,3,5,12,15,4,13,20,8,167,-,-,-,-,4,21,-,1,2,32,9,4,4,9,8,15,35,2,7,9,5
31,"25201","0240","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","",260,28,27,-,-,29,27,1,2,10,32,7,5,4,20,5,12,34,3,13,8,20,145,19,18,-,-,23,18,1,2,8,14,4,2,2,14,2,6,6,2,9,6,7,115,9,9,-,-,6,9,-,-,2,18,3,3,2,6,3,6,28,1,4,2,13
32,"25201","024001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇPíöñ⁄",233,28,27,-,-,27,24,1,2,8,27,7,4,4,16,5,12,33,3,9,8,15,128,19,18,-,-,21,15,1,2,6,12,4,1,2,11,2,6,6,2,6,6,6,105,9,9,-,-,6,9,-,-,2,15,3,3,2,5,3,6,27,1,3,2,9
33,"25201","024002","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇQíöñ⁄",15,-,-,-,-,-,2,-,-,1,3,-,1,-,3,-,-,1,-,-,-,4,9,-,-,-,-,-,2,-,-,1,2,-,1,-,2,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,3
34,"25201","024003","3","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂ","ÇRíöñ⁄",12,-,-,-,-,2,1,-,-,1,2,-,-,-,1,-,-,-,-,4,-,1,8,-,-,-,-,2,1,-,-,1,-,-,-,-,1,-,-,-,-,3,-,-,4,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,1
35,"25201","0270","2","","","","é†âÍåß","ëÂí√és","ê^ñÏïÅñÂí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"25201","0280","2","","","","é†âÍåß","ëÂí√és","ê^ñÏç≤êÏí¨","",53,2,2,-,-,1,3,-,1,3,9,1,1,1,3,-,1,13,-,6,3,5,28,2,2,-,-,1,1,-,1,3,4,1,1,-,-,-,-,3,-,5,3,3,25,-,-,-,-,-,2,-,-,-,5,-,-,1,3,-,1,10,-,1,-,2
37,"25201","0290","2","çáéZínàÊÇ†ÇË","","029001;029002","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","",343,7,6,-,-,37,60,2,6,12,62,4,4,10,23,10,12,48,2,11,11,22,194,4,3,-,-,34,35,1,6,10,29,2,3,9,8,3,5,12,2,8,10,13,149,3,3,-,-,3,25,1,-,2,33,2,1,1,15,7,7,36,-,3,1,9
38,"25201","029001","3","îÈìΩínàÊ","0290","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇPíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
39,"25201","029002","3","îÈìΩínàÊ","0290","","é†âÍåß","ëÂí√és","ê^ñÏëÂñÏ","ÇQíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
40,"25201","0310","2","","","","é†âÍåß","ëÂí√és","ê^ñÏâ∆ìcí¨","",19,2,2,-,-,1,2,-,-,1,2,-,-,5,1,-,-,3,-,-,-,2,8,1,1,-,-,1,2,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,11,1,1,-,-,-,-,-,-,-,2,-,-,2,1,-,-,3,-,-,-,2
41,"25201","0320","2","","","","é†âÍåß","ëÂí√és","ê^ñÏíJå˚í¨","",75,5,5,-,-,5,12,1,-,2,11,4,-,1,5,1,9,4,1,9,1,4,43,5,5,-,-,4,10,1,-,2,3,1,-,1,2,1,3,-,1,6,1,2,32,-,-,-,-,1,2,-,-,-,8,3,-,-,3,-,6,4,-,3,-,2
42,"25201","0330","2","","","","é†âÍåß","ëÂí√és","å¸ózí¨","",166,-,-,-,-,7,13,3,6,5,38,1,5,10,5,10,11,29,-,6,6,11,91,-,-,-,-,5,10,2,6,4,20,-,5,5,-,4,6,9,-,5,6,4,75,-,-,-,-,2,3,1,-,1,18,1,-,5,5,6,5,20,-,1,-,7
43,"25201","0340","2","","","","é†âÍåß","ëÂí√és","î¸ãÛí¨","",565,4,4,-,-,30,88,3,6,43,103,6,7,10,32,23,19,64,4,63,10,50,308,4,4,-,-,28,62,3,4,39,40,2,5,9,13,9,7,13,3,36,3,28,257,-,-,-,-,2,26,-,2,4,63,4,2,1,19,14,12,51,1,27,7,22
44,"25201","0350","2","","","","é†âÍåß","ëÂí√és","â‘âÄí¨","",195,1,-,-,-,11,23,-,2,11,44,2,4,14,3,4,22,36,-,6,8,4,96,-,-,-,-,7,15,-,1,9,20,2,2,9,1,1,8,12,-,2,6,1,99,1,-,-,-,4,8,-,1,2,24,-,2,5,2,3,14,24,-,4,2,3
45,"25201","0360","2","","","","é†âÍåß","ëÂí√és","ê¥ïóí¨","",482,4,4,-,-,20,84,3,4,21,77,20,11,22,30,22,42,68,2,29,17,6,267,2,2,-,-,16,61,3,3,18,31,10,9,13,16,11,24,15,1,20,11,3,215,2,2,-,-,4,23,-,1,3,46,10,2,9,14,11,18,53,1,9,6,3
46,"25201","0370","2","","","","é†âÍåß","ëÂí√és","ózñæí¨","",377,4,4,-,-,26,45,4,7,23,65,11,10,20,17,9,26,62,2,16,21,9,204,4,4,-,-,20,33,4,7,20,26,4,3,13,2,2,15,16,2,13,16,4,173,-,-,-,-,6,12,-,-,3,39,7,7,7,15,7,11,46,-,3,5,5
47,"25201","0380","2","","","","é†âÍåß","ëÂí√és","ê¥òaí¨","",552,1,1,-,-,27,80,7,17,21,95,19,9,23,28,18,44,85,7,23,34,14,296,1,1,-,-,19,60,7,11,18,37,9,9,13,13,8,25,17,2,13,28,6,256,-,-,-,-,8,20,-,6,3,58,10,-,10,15,10,19,68,5,10,6,8
48,"25201","0390","2","","","","é†âÍåß","ëÂí√és","óŒí¨","",650,3,3,-,-,23,86,6,24,18,108,24,14,30,24,29,67,95,7,38,29,25,358,3,3,-,-,19,65,5,20,15,41,13,6,24,12,10,33,26,4,23,27,12,292,-,-,-,-,4,21,1,4,3,67,11,8,6,12,19,34,69,3,15,2,13
49,"25201","0400","2","","","","é†âÍåß","ëÂí√és","åòìc","",1078,7,7,-,-,105,217,7,16,37,152,21,13,59,83,25,50,133,6,62,37,48,629,6,6,-,-,86,163,7,9,31,73,10,8,40,30,10,29,25,2,40,30,30,449,1,1,-,-,19,54,-,7,6,79,11,5,19,53,15,21,108,4,22,7,18
50,"25201","040001","3","","","","é†âÍåß","ëÂí√és","åòìc","ÇPíöñ⁄",958,7,7,-,-,94,152,7,15,37,150,21,13,22,82,25,50,133,6,60,37,47,525,6,6,-,-,75,103,7,9,31,71,10,8,12,30,10,29,25,2,38,30,29,433,1,1,-,-,19,49,-,6,6,79,11,5,10,52,15,21,108,4,22,7,18
51,"25201","040002","3","","","","é†âÍåß","ëÂí√és","åòìc","ÇQíöñ⁄",120,-,-,-,-,11,65,-,1,-,2,-,-,37,1,-,-,-,-,2,-,1,104,-,-,-,-,11,60,-,-,-,2,-,-,28,-,-,-,-,-,2,-,1,16,-,-,-,-,-,5,-,1,-,-,-,-,9,1,-,-,-,-,-,-,-
