平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"第 2- 31表　都道府県別年齢調整死亡率（人口10万対）,脳内出血・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
注：脳内出血については、昭和55年以降計上した。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,女,,,,,,,,,,
,昭和55,60,平成２,7,12,17,22,27,昭和55,60,平成２,7,12,17,22,27,,,
,1980,1985,1990,1995,2000,2005,2010,2015,1980,1985,1990,1995,2000,2005,2010,2015,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
脳内出血,,,,,,,,,,,,,,,,,,,
全　　国,61.9,36.9,26.1,25,20.3,19,17.1,14.1,40.8,24,15.7,14.3,10.8,9.3,7.6,6.3,,,
01　北海道,53.9,31.7,20.5,22.6,19.2,19.3,15.7,12.8,38.5,21.5,12.4,12.1,10.2,9.9,7.4,6.4,,,
02　青　森,83.5,49.4,33.6,28.6,28.8,24.1,23,19.5,51.3,30.5,17.2,16.8,11.6,10.8,9.2,8,,,
03　岩　手,72.1,46.5,34,32.5,26.8,25.7,24.6,20.7,44.1,29.6,16.6,16.5,13.7,11.9,12.1,9.5,,,
04　宮　城,59,38.1,26.3,26.5,20.7,23.4,23.3,19.6,43.6,24.6,15.2,16.4,11.3,9.3,9.7,8.4,,,
05　秋　田,77.4,38.1,30,29.8,24.1,22.8,22.9,20.3,45.8,24.8,15.6,13.8,12.7,10.9,9,8.8,,,
06　山　形,75.2,33.5,24.5,25.5,19.6,18.8,19.5,14.5,40.6,24.2,14.6,12,9.9,9,7.7,7,,,
07　福　島,77.6,41.6,30.4,29.3,19.7,22.1,17.9,15.7,49,28.4,18.6,15,12.7,10.7,7.8,8.5,,,
08　茨　城,82.3,42.5,31.6,27,22.6,21.9,20,16.9,50.8,28.3,16.6,16.4,11.8,12.1,9.8,7.6,,,
09　栃　木,76.1,47.8,34.7,30,23.8,22.5,20.7,19.1,53.7,31.5,20.4,17.1,13.4,12.1,9.2,8.1,,,
10　群　馬,65.1,40.4,29.1,23.7,21.4,18.9,17.2,14.5,45.7,29.2,17,16.2,13.8,10.9,6.7,6.6,,,
11　埼　玉,74.4,41.8,27.9,27.8,21.4,19.2,16.2,12.8,47.8,27.8,16.2,17.2,12.3,9.4,7.8,6,,,
12　千　葉,73.2,41.4,25.9,25.1,20.9,19.3,15.8,12.7,45.3,25.8,17.2,14.9,10.7,10.1,7.4,6.5,,,
13　東　京,56.8,37.7,28.5,25.5,20.2,18.9,18.4,14.6,39,23.6,17,15.5,10.6,9.2,8.3,6.1,,,
14　神奈川,58.9,41.6,27.4,24.8,21.9,20.1,17.4,14.7,38.7,25.2,16.8,15.8,11.7,9,8.1,6.7,,,
15　新　潟,76.8,41,22.7,25.9,19.9,20.4,19.8,18.2,41.8,23.6,15.1,13,11.1,9.5,10.1,7.7,,,
16　富　山,57.1,31.3,21,19.5,15.5,16.1,16.1,15.1,34.1,17,11.6,11.6,9.3,9.3,6.9,6.5,,,
17　石　川,58.5,33.3,21.6,15.5,15.2,16.2,12.5,12.7,34.9,25.6,13.5,12.6,8.1,6.4,5.9,6.7,,,
18　福　井,57,30.8,18.6,17.3,14.1,16.1,14.5,12.8,32,21.1,13.1,12,6.6,8.6,8.1,4,,,
19　山　梨,66.5,40.2,25.1,26.2,14.8,15.5,15.9,16.9,42.2,25.4,16.8,10.5,9.3,7.9,6.7,6,,,
20　長　野,59.2,38.4,29.1,28.6,24.2,20.7,17.2,13.7,46.2,26.3,16.2,15.2,13.3,10.3,7.4,6.2,,,
21　岐　阜,63.5,42.2,24.8,24.1,20.3,18.2,16.3,11.9,48.7,25.6,19.5,14.1,11,9.3,8.1,5.3,,,
22　静　岡,63.5,36.6,26.4,23.8,22.9,22.7,19.9,18.6,42,24.1,15.3,15.3,11.1,12,9.7,8.1,,,
