平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"第 2- 35表　都道府県別年齢調整死亡率（人口10万対）,慢性閉塞性肺疾患・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
注：慢性閉塞性肺疾患については、昭和55年以降計上した。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,女,,,,,,,,,,
,昭和55,60,平成２,7,12,17,22,27,昭和55,60,平成２,7,12,17,22,27,,,
,1980,1985,1990,1995,2000,2005,2010,2015,1980,1985,1990,1995,2000,2005,2010,2015,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
慢性閉塞性肺疾患,,,,,,,,,,,,,,,,,,,
全　　国,9.7,11.5,11,13.7,11,10,9.1,7.5,2.8,3,2.6,2.9,2,1.6,1.4,1.1,,,
01　北海道,9.1,11.9,10.1,12.4,10,9,8.3,7.2,2.3,3.7,2.6,2.8,1.7,1.4,1.2,1.1,,,
02　青　森,6.5,10.2,9.5,10.2,9.4,8.9,7.8,8.3,1.9,1.7,1.2,1.3,0.9,1.3,0.9,0.7,,,
03　岩　手,7.2,9.6,8,11.4,8.1,8.8,8.7,7.5,2.7,1.8,1.2,2.3,1.2,0.7,1.1,1,,,
04　宮　城,9.2,11,9.6,11.5,10.2,9.9,8.3,6.5,1.8,2.7,1.9,2.4,1.6,0.8,0.8,0.6,,,
05　秋　田,8.8,9.9,8.1,11.8,8.6,7.8,7,5.8,1.8,2.4,1.9,1.9,1.2,0.7,1.3,0.4,,,
06　山　形,9.5,14.6,9.6,10.9,12.8,10.9,8.3,7.3,2.9,2.4,2.8,2,1.3,1.5,0.9,0.8,,,
07　福　島,11.4,10.7,11,14.4,13.1,11.2,10.6,8.1,3.3,2.7,2.2,2.3,1.3,1.8,1.2,1.2,,,
08　茨　城,8.3,8.4,10.2,13.8,10.6,10.8,9.4,8,2.3,2.9,1.8,2.3,1.6,1.4,1.2,0.9,,,
09　栃　木,10.9,12.2,12.8,16.5,12.5,9.8,9.6,7.1,3.3,4.8,2.8,3.1,1.8,1.2,1.2,1.2,,,
10　群　馬,13.2,14.9,10.1,14.9,13.6,10,9.5,9,4.8,5,2.7,3.1,2.2,2.2,1.7,1.2,,,
11　埼　玉,7.6,9.5,9.6,13.7,9.6,9.4,8.6,6.8,2.5,3,2.5,2.9,1.9,1.9,1.1,1.1,,,
12　千　葉,9,10,9.2,10.7,9.2,9.5,7.7,6.2,1.7,2.2,2.2,2.5,2.2,1.5,1.3,0.8,,,
13　東　京,8.8,10.4,11,12.1,9.8,9.5,8.6,7.4,3,2.9,2.8,3,1.9,2.1,1.6,1.1,,,
14　神奈川,9.3,9.5,9.7,11.3,9.8,8.6,10,6.9,2.8,3,3.1,3.3,1.9,2,1.8,1.6,,,
15　新　潟,8.4,11.9,12.2,14.6,10.3,9.8,7.3,7.2,2.4,2.4,1.7,1.7,1.1,0.9,0.8,0.7,,,
16　富　山,12.1,10.2,10.1,13.6,9.6,7.1,8.4,7.5,3.7,1.7,2.2,1.6,1,1.1,0.7,0.5,,,
17　石　川,9.1,11.9,7.2,12.2,11.6,9.9,9.5,6.6,0.6,1.5,2.7,2.5,2.7,1.5,0.9,0.7,,,
18　福　井,8.1,9.4,12.9,12.7,12.3,8.5,9.4,6.9,2.3,3.3,1.5,2.6,1.3,1.3,1.5,0.8,,,
19　山　梨,11.7,14.4,13.4,16.5,11.1,9.4,8.3,8.8,3.4,1.2,2.3,2.9,2.6,1.4,1.1,0.8,,,
20　長　野,7.3,11.2,10.1,11.9,10.5,10.5,9.6,7.6,2.1,2.2,1.1,1.6,1.1,1,0.9,0.8,,,
21　岐　阜,9.5,11.7,10.5,12.9,12.4,11,8.6,7.1,2.8,2.7,1.9,2,1.8,1.4,1,0.7,,,
22　静　岡,6.1,11.4,10.1,12.8,12.3,10.8,9.3,7.1,1.7,3,2.6,2.2,1.7,1.2,1.1,0.8,,,
23　愛　知,10.1,9.8,9.6,12,10.2,8.8,8.6,6.2,2.8,2.5,2.2,2.4,1.6,1.4,1,0.9,,,
24　三　重,10.1,13,12.1,15.3,13.7,12.6,10.4,8.4,2.6,3.7,1.5,2.9,1.7,1.5,1.5,1,,,
25　滋　賀,13.2,17.1,13.8,14.3,14.3,13.2,9.9,8.5,1.7,3.7,3.1,3.1,2,1.3,1.2,1,,,
26　京　都,11,12.1,12.7,14.1,12.3,11.5,8.3,7.4,2.3,3,3,3.2,2.6,1.7,1.3,1.3,,,
27　大　阪,13.3,13.8,12.8,15,12.1,10.4,9.7,8.5,4,3.5,3.6,4.3,2.7,2.2,2,1.2,,,
28　兵　庫,10.8,10.9,11.6,16.1,10.3,10.4,9.3,7.9,2.7,3.3,2.8,3.6,2.2,1.4,1.3,1.3,,,
29　奈　良,13.2,14.6,14.4,16,14.2,12.3,10.6,7.4,2.8,2.8,1.4,2.9,2,1.7,1,0.6,,,
30　和歌山,7.4,12.4,10.4,15.2,12.7,11.4,11.2,10,1.7,2,2.7,2.7,1.4,0.8,1.3,1.1,,,
31　鳥　取,11,12.8,11.6,15.7,13.2,9.4,10.1,7.2,2.5,3.8,1.9,2.9,3,1.3,1.3,0.3,,,
32　島　根,8.3,13.1,11.3,16.6,11.5,10.5,8.7,8.5,2.5,1.8,1.9,2.1,2,1.1,1.3,0.9,,,
33　岡　山,11,10.8,10.9,12.8,10.1,9.9,9.6,7.5,2.9,2.2,2.5,2.5,1.5,1.3,1.2,1.2,,,
34　広　島,9.6,12.1,10.9,14.3,12.1,9.7,8.9,7.1,2.4,2.2,2.1,2.7,1.7,1.3,1,1.2,,,
35　山　口,9.6,11.6,10.7,15.5,12.3,9.6,9.2,7.8,2.6,3.3,3,3.9,2.5,1.3,1.9,1.3,,,
36　徳　島,13.6,13.5,15,15.9,14.6,13.4,10.5,10.7,4.3,2.7,3.1,3.9,3.3,2.5,1.6,1,,,
37　香　川,8.9,9.6,10.7,14.3,13.3,10.8,9,8,3.5,3.7,2.7,1.6,1.8,1.1,1.3,0.8,,,
38　愛　媛,7.4,8.9,9.9,12.4,8.9,9.4,8.1,7.9,2.3,2.5,2.8,2.7,2.3,1.9,1.1,0.8,,,
39　高　知,5.6,8.2,10.3,12.2,8.2,9.1,7.7,7.9,1.5,2.3,2.4,3.5,2.5,1.3,1.8,0.7,,,
40　福　岡,9.1,11.9,11.8,14.8,10.7,9.3,10.5,6.6,3.1,3.1,3.3,3.8,2.5,2,1.6,1.2,,,
41　佐　賀,8.1,11,10.4,12.3,11,11.4,10.8,8.7,3.8,3.1,3.4,2.2,1.9,1.2,1.7,1.3,,,
42　長　崎,11,14.3,13.5,18,13.5,8.8,8.8,8.5,4.9,5.1,4.3,4.2,2.5,1.7,1.3,1.2,,,
43　熊　本,10.9,13.9,12.9,14.1,10.7,10.2,8.8,7.1,3.1,3.4,3.8,2.9,2.1,1.7,1.6,0.9,,,
44　大　分,10.7,12.2,13.5,14.9,12.2,9.6,10.2,8.4,2.9,4.2,3,3.2,3,1.6,1.4,1.2,,,
45　宮　崎,7.4,10.2,11.6,14.4,12.2,10.1,10.5,8.2,2.6,4.4,2.9,3.6,2.2,1.9,1.5,1.6,,,
46　鹿児島,9.3,11.5,12.1,16.6,11.6,12,9.4,8.3,3.7,3.4,1.9,3.2,2.1,2.1,1.8,1.3,,,
47　沖　縄,23.6,20.6,17.4,27.4,19.1,17,12.8,9.3,9.5,7,6.2,8.1,5.2,4.5,3.9,1.6,,,
21大都市（再掲）,,,,,,,,,,,,,,,,,,,
50　東京都区部,9.3,11.2,11.3,12.5,9.8,9.9,9,8,3.1,3,2.9,3,1.9,2.1,1.9,1.2,,,
51　札　幌,9.2,12.4,9.4,11.4,9,7.4,8.5,6.3,3.1,5.5,2.3,3.2,1.7,1.2,1.2,0.9,,,
52　仙　台,… ,… ,8.7,10.7,9.7,8.8,8.4,5.3,… ,… ,2.3,2.9,2.3,0.6,0.7,0.6,,,
53　さいたま,… ,… ,… ,… ,… ,6.5,6.9,6.3,… ,… ,… ,… ,… ,1.5,0.8,0.9,,,
54　千　葉,… ,… ,… ,8.4,9.2,7.9,5.5,6,… ,… ,… ,2.5,2.8,1.9,0.8,1.2,,,
55　横　浜,7.6,9.4,9.7,10.7,9.3,9.1,9.8,6.9,2.7,2.6,2.8,3.4,1.9,1.8,1.8,1.6,,,
56　川　崎,17.3,11.4,12,11.8,12.3,7.6,9.7,7.2,3.8,3.1,3.7,4.9,2.6,2.4,2,1.1,,,
57　相模原,… ,… ,… ,… ,… ,… ,10.3,7.4,… ,… ,… ,… ,… ,… ,1.4,1.9,,,
58　新　潟,… ,… ,… ,… ,… ,… ,5.6,6.7,… ,… ,… ,… ,… ,… ,0.6,0.7,,,
59　静　岡,… ,… ,… ,… ,… ,10,9.7,9.4,… ,… ,… ,… ,… ,1.2,1.1,0.8,,,
60　浜　松,… ,… ,… ,… ,… ,… ,8.2,5,… ,… ,… ,… ,… ,… ,1,0.5,,,
61　名古屋,11.2,10.2,10.4,11.1,10.6,9.1,9.2,6.2,4.1,3.1,2.2,2.7,1.8,1.8,1,1.1,,,
62　京　都,9.9,10.5,11.9,13.9,11,11.8,8,5.8,2.5,3.3,3,3.7,2.3,1.8,1.5,1.1,,,
63　大　阪,14.8,14.8,14.8,15.6,12.2,11.7,10.4,10.6,5.2,4.6,3.7,5.3,3.6,2.4,2,1.3,,,
