平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"第 2-41表　都道府県別年齢調整死亡率（人口10万対）,老衰・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,,,,,女,,,,,,,,,,,
,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27
,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
老衰,,,,,,,,,,,,,,,,,,,,,,,,
全　　国,148.8,110.9,72.8,43.2,35.8,22.8,14.4,9.3,6.3,5.6,6.9,10.1,136.4,109.3,76.5,46.2,37.4,23,14.5,9.4,6.8,6.6,8.9,13.4
01　北海道,112.2,83.1,52.9,30.5,21.7,13.3,6.8,4.8,4.3,3.4,4.5,7.6,105.5,85.5,56.5,31.3,26.1,14.6,6.7,4.4,4.4,4.2,5,9.9
02　青　森,231.8,143.7,91.9,57.6,55.9,36.9,19.1,13.4,8.7,6.6,7.8,10.5,239.1,163,97.8,59.9,52.3,32.7,21,14.2,8.9,6.8,10.1,13.1
03　岩　手,93.7,76.3,33.5,16,19.3,14.4,12.7,9.1,5.1,6.2,7.3,10.1,104.3,76.6,34.4,19.4,25.9,16.1,12.2,9.4,5.7,6.8,8.5,12.7
04　宮　城,144.8,118.7,50.7,35.5,29.2,20.1,16.6,9.1,7.2,6.6,9.2,12.4,141.3,108.6,51.7,31,27.4,22.1,16.5,9.2,7.2,7.6,11.1,15.6
05　秋　田,190.6,123.4,65.8,41,33.2,19.9,10.3,8.1,6.2,4.8,6.6,9,143.4,115.9,73,40.8,36,22.4,13.8,9.7,7,6.7,7.5,12.8
06　山　形,200.7,180,105.9,57,49.8,31.9,23.4,12.1,8.5,6.8,9.5,13.5,163.4,161.3,117.4,68.3,52.7,30.2,19.1,13.1,10.6,8.9,9.9,14.6
07　福　島,156.2,119.3,83.4,41.3,43.8,33.1,18.1,16.3,9.3,7.9,8.1,12.5,145.6,128.1,75.9,50.3,47.3,35.7,18.9,16.3,8.8,8,9.3,15.3
08　茨　城,188.8,144,97.4,58.8,50.7,32.2,23.6,13.6,8.4,7.3,8.4,11.5,147.3,127.2,94.1,56.4,44.9,33.8,24.9,13.9,9.6,7.9,11.1,15.1
09　栃　木,107.9,87.7,58.9,43.1,36.5,20.9,16.4,10,6.7,7.6,7.7,10.7,93.1,85.1,64.3,39,31.8,22,18.4,10.2,8.3,8.9,10.5,14.6
10　群　馬,118.3,105.9,64.7,36.3,35,20.9,19.5,12,6,5.2,6.2,9.4,122.5,99.6,71.2,36.2,35.4,20.4,20,12.8,7.3,6.1,8.2,12.8
