平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"第 2-45表　都道府県別年齢調整死亡率（人口10万対）,自殺・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,,,,,女,,,,,,,,,,,
,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27
,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
自殺,,,,,,,,,,,,,,,,,,,,,,,,
全　　国,30,21.8,20.6,24.1,24.3,26.9,20,21.3,30.7,31.6,29.8,23,20.6,14.4,14.7,15.6,13.4,12.5,10.8,9.3,10.7,10.7,10.9,8.9
01　北海道,33.3,25.1,22.5,26.4,26.9,32.1,21.6,21.6,36,37.3,33.6,24.7,22.5,14.1,18.8,18,13.6,12.8,9.6,8.7,10.5,11.2,11.7,9.5
02　青　森,30.2,25.8,18.8,25.9,31.8,33.7,25.4,28.1,34.8,52.2,39.1,26.5,14,13.5,13.4,12.5,13.1,15.5,12.3,8.7,11.8,11.8,11,7.4
03　岩　手,36.1,33.4,30.6,34.1,35.9,35.6,28.7,31.6,41,43.9,39.5,27.5,26.4,20.4,19.8,22.4,18.3,16.5,15.7,11,13.1,12.6,14.9,10.7
04　宮　城,21.2,18.1,15.1,18.4,20.5,25.3,21,17.6,30.7,38.2,31.4,23.4,15.1,14.8,12.2,16.7,10.8,14.4,11.5,9.9,9.7,10.5,8.9,8.3
05　秋　田,31.7,28.8,27.6,32.9,30.4,45.8,33.3,36.6,47.2,51.8,38.7,30.3,20.7,14.9,21,20.8,15.4,17.5,14.4,15,14.8,13.1,12.5,9.7
06　山　形,25.8,26.9,23.2,22,24.7,28.1,21.3,27.6,32.1,43.9,33.2,28.7,19.4,12.7,16.3,15.7,15.1,15,10.4,10.1,10.3,10.8,12,8.3
07　福　島,25.3,18.8,18.8,19.6,22.2,30.3,18.7,23.6,31.3,42,33.8,27.4,16.6,12.5,14.1,13.2,11.7,14.6,12.6,10.8,10.6,10.9,10.1,10.3
08　茨　城,22.6,16.5,14.9,21.6,23.3,27.3,16.8,20.6,31.7,31.6,30.9,24.3,14.4,10.5,11.5,13,13.1,13.8,11.7,9.6,10.9,10.6,11.9,8.7
09　栃　木,24.1,17.5,19.9,24.9,24.1,29.4,21.5,25.3,30.9,32.8,31.1,23.6,15.7,11.6,12.3,14,16.6,15.5,13.5,8.7,12.6,10.4,10.4,11.1
10　群　馬,29.1,19,23.4,25.8,25.2,31.3,20.8,22.1,29.8,32.5,33.1,27,21.9,15,13.8,17.6,16.4,17.4,12.2,11.4,11.2,11.1,11.6,10.9
