年,地域,男,女
1960,全　　国,188.2,132
1960,01　北海道,192.3,132.8
1960,02　青　森,171.2,131.9
1960,03　岩　手,140.3,109.1
1960,04　宮　城,207.7,127.5
1960,05　秋　田,226.6,138.8
1960,06　山　形,220.1,137.6
1960,07　福　島,201.8,134.1
1960,08　茨　城,175.1,125.1
1960,09　栃　木,208.5,135
1960,10　群　馬,199.7,134
1960,11　埼　玉,197,132.1
1960,12　千　葉,191.4,128.5
1960,13　東　京,217.7,146.8
1960,14　神奈川,196.6,131.2
1960,15　新　潟,211.5,150.3
1960,16　富　山,188.1,138.1
1960,17　石　川,205.4,137.7
1960,18　福　井,173.9,121.1
1960,19　山　梨,190.5,130.7
1960,20　長　野,185.9,130.8
1960,21　岐　阜,163.6,119.8
1960,22　静　岡,142.1,111.3
1960,23　愛　知,172.4,136
1960,24　三　重,171.4,134
1960,25　滋　賀,181.2,147.6
1960,26　京　都,188.2,132.3
1960,27　大　阪,218.6,144.6
1960,28　兵　庫,183.5,127
1960,29　奈　良,228.2,142.6
1960,30　和歌山,203.5,141.5
1960,31　鳥　取,205.8,138.5
1960,32　島　根,172,118.5
1960,33　岡　山,168.8,122.4
1960,34　広　島,182.7,127.1
1960,35　山　口,184.3,129.5
1960,36　徳　島,151.6,127.3
1960,37　香　川,196.2,147.5
1960,38　愛　媛,193,117.8
1960,39　高　知,155.9,113.7
1960,40　福　岡,196.7,145.8
1960,41　佐　賀,218,156.5
1960,42　長　崎,173.4,123.2
1960,43　熊　本,174.4,122.6
1960,44　大　分,164.4,124.7
1960,45　宮　崎,165.3,124.3
1960,46　鹿児島,139.5,101
1960,47　沖　縄,,
1965,全　　国,195.6,130.3
1965,01　北海道,204.4,130.7
1965,02　青　森,188.6,131
1965,03　岩　手,149.2,109.9
1965,04　宮　城,224.5,131.9
1965,05　秋　田,225,128.1
1965,06　山　形,224.6,147.7
1965,07　福　島,196.9,133.6
1965,08　茨　城,192.8,120.3
1965,09　栃　木,204.6,126.1
1965,10　群　馬,214.4,141.2
1965,11　埼　玉,202.4,130.3
1965,12　千　葉,198.1,125.6
1965,13　東　京,210,134.1
1965,14　神奈川,187.8,136.6
1965,15　新　潟,236.1,147.4
1965,16　富　山,204.1,133.9
1965,17　石　川,199.9,146.4
1965,18　福　井,166.1,118.1
1965,19　山　梨,201.3,130.1
1965,20　長　野,185.6,129.3
1965,21　岐　阜,167.2,123.3
1965,22　静　岡,166,107.7
1965,23　愛　知,176.3,130.4
1965,24　三　重,189.2,124.4
1965,25　滋　賀,179.8,131.6
1965,26　京　都,200.7,141
1965,27　大　阪,225.1,139
1965,28　兵　庫,189.5,128.7
1965,29　奈　良,256.7,139.6
1965,30　和歌山,217.2,136.1
1965,31　鳥　取,189.2,137.9
1965,32　島　根,176.4,120
1965,33　岡　山,178.9,122.9
1965,34　広　島,179.1,126.6
1965,35　山　口,191.6,121.1
1965,36　徳　島,185,125.3
1965,37　香　川,209.6,133.8
1965,38　愛　媛,202.4,132.3
1965,39　高　知,163,111
1965,40　福　岡,210.6,140.1
1965,41　佐　賀,213.8,148.9
1965,42　長　崎,193,128.6
1965,43　熊　本,170.8,128.4
1965,44　大　分,160.3,125.9
1965,45　宮　崎,181.5,127.9
1965,46　鹿児島,159.7,110.3
1965,47　沖　縄,,
1970,全　　国,199.2,126.9
1970,01　北海道,202.9,128.5
1970,02　青　森,207.4,114.4
1970,03　岩　手,171.2,106.6
1970,04　宮　城,206.1,123.5
1970,05　秋　田,235.7,135
1970,06　山　形,224.5,128.4
1970,07　福　島,199,129.9
1970,08　茨　城,186.6,119.1
1970,09　栃　木,194.7,120.7
1970,10　群　馬,191.9,125
1970,11　埼　玉,197,127.4
1970,12　千　葉,187.2,118.1
1970,13　東　京,216.8,135.7
1970,14　神奈川,205.8,133.2
1970,15　新　潟,225.9,138.9
1970,16　富　山,208.9,133.9
1970,17　石　川,196.8,133.8
1970,18　福　井,179.1,119.3
1970,19　山　梨,200.9,122.8
1970,20　長　野,189.5,122.3
1970,21　岐　阜,167.3,121.8
1970,22　静　岡,164.3,110.8
1970,23　愛　知,179.3,126
1970,24　三　重,189.4,126.9
1970,25　滋　賀,197.8,118
1970,26　京　都,194.4,132
1970,27　大　阪,219.5,135.5
1970,28　兵　庫,199.6,128.6
1970,29　奈　良,238.3,131.3
1970,30　和歌山,201.9,131.1
1970,31　鳥　取,209.7,133.1
1970,32　島　根,182.9,122.9
1970,33　岡　山,179.8,119.1
1970,34　広　島,191.8,118.8
1970,35　山　口,200,120.8
1970,36　徳　島,180.4,118.9
1970,37　香　川,198.6,134.1
1970,38　愛　媛,199,125.6
1970,39　高　知,176.7,124.3
1970,40　福　岡,227.1,142.6
1970,41　佐　賀,205.8,142.9
1970,42　長　崎,211.9,134.9
1970,43　熊　本,184.9,115.3
1970,44　大　分,185.9,122.8
1970,45　宮　崎,210.4,128.6
1970,46　鹿児島,182.2,97.8
1970,47　沖　縄,,
1975,全　　国,198.9,121.1
1975,01　北海道,208,123.8
1975,02　青　森,200.4,116.4
1975,03　岩　手,179.3,110.8
1975,04　宮　城,209.2,117.6
1975,05　秋　田,226.1,132
1975,06　山　形,228.7,118.9
1975,07　福　島,200.7,128.2
1975,08　茨　城,182.4,117.7
1975,09　栃　木,198.6,114
1975,10　群　馬,187.7,114.8
1975,11　埼　玉,193.6,118.2
1975,12　千　葉,190.3,113.4
1975,13　東　京,205.5,126.4
1975,14　神奈川,194.2,120.4
1975,15　新　潟,222.9,129.3
1975,16　富　山,220.1,128
1975,17　石　川,200.6,124.6
1975,18　福　井,181.9,115.3
1975,19　山　梨,196.5,107
1975,20　長　野,188.5,116.8
1975,21　岐　阜,177.2,125.3
1975,22　静　岡,168.6,107.1
1975,23　愛　知,186.9,123.9
1975,24　三　重,190.5,120.1
1975,25　滋　賀,192,125.8
1975,26　京　都,199,122.3
1975,27　大　阪,228.8,128.6
1975,28　兵　庫,196.4,121.5
1975,29　奈　良,223.3,132.2
1975,30　和歌山,210.9,120.4
1975,31　鳥　取,194.5,119.9
1975,32　島　根,181.7,116.2
1975,33　岡　山,182.2,118
1975,34　広　島,195.9,118.5
1975,35　山　口,194.5,113.3
1975,36　徳　島,170.9,123.4
1975,37　香　川,202.4,125
1975,38　愛　媛,190.6,124.7
1975,39　高　知,171.4,116.6
1975,40　福　岡,213.7,132
1975,41　佐　賀,222.7,124.4
1975,42　長　崎,215.1,128
1975,43　熊　本,181.5,123.3
1975,44　大　分,206.6,119.5
1975,45　宮　崎,208,116.4
1975,46　鹿児島,193.9,108.1
1975,47　沖　縄,165.6,89.4
1980,全　　国,210.9,118.8
1980,01　北海道,226.6,123.7
1980,02　青　森,224.4,116.9
1980,03　岩　手,180,104.3
1980,04　宮　城,210.4,122.4
1980,05　秋　田,243.2,126.2
1980,06　山　形,230.9,128.1
1980,07　福　島,208.5,125.5
1980,08　茨　城,196.8,112.8
1980,09　栃　木,204.8,111
1980,10　群　馬,183.7,111.1
1980,11　埼　玉,201.6,117.4
1980,12　千　葉,193.1,113.4
1980,13　東　京,219.7,125.1
1980,14　神奈川,214.4,122.2
1980,15　新　潟,218.3,125.7
1980,16　富　山,226.7,126.3
1980,17　石　川,231.6,124.4
1980,18　福　井,200.6,127.7
1980,19　山　梨,210.7,115.5
1980,20　長　野,187.2,118.9
1980,21　岐　阜,196.9,119
1980,22　静　岡,181.7,104.6
1980,23　愛　知,195.3,121.4
1980,24　三　重,189.5,112.7
1980,25　滋　賀,205.1,112.1
1980,26　京　都,205.4,118.1
1980,27　大　阪,241.2,124
1980,28　兵　庫,226.9,124.9
1980,29　奈　良,221.1,124.6
1980,30　和歌山,222.7,127.5
1980,31　鳥　取,216.9,116
1980,32　島　根,189.4,113
1980,33　岡　山,201.9,110.7
1980,34　広　島,210.7,112
1980,35　山　口,215.6,112.3
1980,36　徳　島,203.1,110.8
1980,37　香　川,193.8,117
1980,38　愛　媛,196,104.4
1980,39　高　知,181.6,96.3
1980,40　福　岡,244.4,131.6
1980,41　佐　賀,219.6,130.3
1980,42　長　崎,229.7,120.7
1980,43　熊　本,192.4,110.9
1980,44　大　分,200.6,123.2
1980,45　宮　崎,204.1,111.3
1980,46　鹿児島,200.5,102.8
1980,47　沖　縄,201.5,95.1
1985,全　　国,214.8,113.1
1985,01　北海道,229.2,120.4
1985,02　青　森,247.1,120.1
1985,03　岩　手,193.8,101.6
1985,04　宮　城,218.2,112.8
1985,05　秋　田,219.1,111.3
1985,06　山　形,218.1,111.7
1985,07　福　島,222.1,111.4
1985,08　茨　城,199.3,106.3
1985,09　栃　木,201.4,110.1
1985,10　群　馬,195,105.5
1985,11　埼　玉,206.2,109.9
1985,12　千　葉,204.7,104.6
1985,13　東　京,218.8,119.7
1985,14　神奈川,212.6,114.9
1985,15　新　潟,231.8,114.1
1985,16　富　山,229.2,118.4
1985,17　石　川,203.4,122.4
1985,18　福　井,188,119.8
1985,19　山　梨,200.9,109.9
1985,20　長　野,188.6,105.9
1985,21　岐　阜,193.4,108.4
1985,22　静　岡,189.8,102.6
1985,23　愛　知,199.8,115.1
1985,24　三　重,186.9,103.2
1985,25　滋　賀,195,109.9
1985,26　京　都,218.1,119.5
1985,27　大　阪,259.5,129.3
1985,28　兵　庫,228.1,116.1
1985,29　奈　良,232,119.2
1985,30　和歌山,231.9,114.6
1985,31　鳥　取,210.3,110.6
1985,32　島　根,198.2,100.2
1985,33　岡　山,201,103.7
1985,34　広　島,212.2,110.4
1985,35　山　口,207.8,106.1
1985,36　徳　島,203.9,104.8
1985,37　香　川,206.5,109
1985,38　愛　媛,198.8,105.3
1985,39　高　知,197.1,94.6
1985,40　福　岡,242,126.6
1985,41　佐　賀,236,112.8
1985,42　長　崎,251.8,125.3
1985,43　熊　本,200.5,107.6
1985,44　大　分,208.8,105.4
1985,45　宮　崎,205.4,104.9
1985,46　鹿児島,207.9,100.8
1985,47　沖　縄,183.6,82.5
1990,全　　国,215.6,107.7
1990,01　北海道,226.1,113.3
1990,02　青　森,234.8,105.1
1990,03　岩　手,202.1,103.1
1990,04　宮　城,219.9,108.1
1990,05　秋　田,236.1,110.1
1990,06　山　形,219,104.3
