年,ラベル,年齢調整死亡率
1960,01　北海道,192.3
1965,01　北海道,204.4
1970,01　北海道,202.9
1975,01　北海道,208
1980,01　北海道,226.6
1985,01　北海道,229.2
1990,01　北海道,226.1
1995,01　北海道,235.3
2000,01　北海道,222.1
2005,01　北海道,212
2010,01　北海道,199.1
2015,01　北海道,184.6
1960,01　北海道,132.8
1965,01　北海道,130.7
1970,01　北海道,128.5
1975,01　北海道,123.8
1980,01　北海道,123.7
1985,01　北海道,120.4
1990,01　北海道,113.3
1995,01　北海道,111.5
2000,01　北海道,104
2005,01　北海道,102.3
2010,01　北海道,99.2
2015,01　北海道,99.5
1960,02　青　森,171.2
1965,02　青　森,188.6
1970,02　青　森,207.4
1975,02　青　森,200.4
1980,02　青　森,224.4
1985,02　青　森,247.1
1990,02　青　森,234.8
1995,02　青　森,247.3
2000,02　青　森,240.2
2005,02　青　森,234.1
2010,02　青　森,215.9
2015,02　青　森,201.6
1960,02　青　森,131.9
1965,02　青　森,131
1970,02　青　森,114.4
1975,02　青　森,116.4
1980,02　青　森,116.9
1985,02　青　森,120.1
1990,02　青　森,105.1
1995,02　青　森,110.3
2000,02　青　森,101.1
2005,02　青　森,99.6
2010,02　青　森,105.6
2015,02　青　森,103
1960,03　岩　手,140.3
1965,03　岩　手,149.2
1970,03　岩　手,171.2
1975,03　岩　手,179.3
1980,03　岩　手,180
1985,03　岩　手,193.8
1990,03　岩　手,202.1
1995,03　岩　手,209.7
2000,03　岩　手,201.9
2005,03　岩　手,199.1
2010,03　岩　手,187.4
2015,03　岩　手,167.3
1960,03　岩　手,109.1
1965,03　岩　手,109.9
1970,03　岩　手,106.6
1975,03　岩　手,110.8
1980,03　岩　手,104.3
1985,03　岩　手,101.6
1990,03　岩　手,103.1
1995,03　岩　手,102.4
2000,03　岩　手,95.6
2005,03　岩　手,94.3
2010,03　岩　手,92.7
2015,03　岩　手,90.3
1960,04　宮　城,207.7
1965,04　宮　城,224.5
1970,04　宮　城,206.1
1975,04　宮　城,209.2
1980,04　宮　城,210.4
1985,04　宮　城,218.2
1990,04　宮　城,219.9
1995,04　宮　城,226.4
2000,04　宮　城,208.9
2005,04　宮　城,194.1
2010,04　宮　城,177.1
2015,04　宮　城,160.5
1960,04　宮　城,127.5
1965,04　宮　城,131.9
1970,04　宮　城,123.5
1975,04　宮　城,117.6
1980,04　宮　城,122.4
1985,04　宮　城,112.8
1990,04　宮　城,108.1
1995,04　宮　城,108.7
2000,04　宮　城,102.7
2005,04　宮　城,97.3
2010,04　宮　城,90.3
2015,04　宮　城,84.5
1960,05　秋　田,226.6
1965,05　秋　田,225
1970,05　秋　田,235.7
1975,05　秋　田,226.1
1980,05　秋　田,243.2
1985,05　秋　田,219.1
1990,05　秋　田,236.1
1995,05　秋　田,238.9
2000,05　秋　田,239
2005,05　秋　田,214.6
2010,05　秋　田,205.7
2015,05　秋　田,185.8
1960,05　秋　田,138.8
1965,05　秋　田,128.1
1970,05　秋　田,135
1975,05　秋　田,132
1980,05　秋　田,126.2
1985,05　秋　田,111.3
1990,05　秋　田,110.1
1995,05　秋　田,110.9
2000,05　秋　田,106.4
2005,05　秋　田,95.9
2010,05　秋　田,94.3
2015,05　秋　田,97.7
1960,06　山　形,220.1
1965,06　山　形,224.6
1970,06　山　形,224.5
1975,06　山　形,228.7
1980,06　山　形,230.9
1985,06　山　形,218.1
1990,06　山　形,219
1995,06　山　形,215.2
2000,06　山　形,215.3
2005,06　山　形,188.7
2010,06　山　形,179.6
2015,06　山　形,162.5
1960,06　山　形,137.6
1965,06　山　形,147.7
1970,06　山　形,128.4
1975,06　山　形,118.9
1980,06　山　形,128.1
1985,06　山　形,111.7
1990,06　山　形,104.3
1995,06　山　形,103.6
2000,06　山　形,103.8
2005,06　山　形,96.1
2010,06　山　形,86.7
2015,06　山　形,81.8
1960,07　福　島,201.8
1965,07　福　島,196.9
1970,07　福　島,199
1975,07　福　島,200.7
1980,07　福　島,208.5
1985,07　福　島,222.1
1990,07　福　島,219.1
1995,07　福　島,221.3
2000,07　福　島,208.4
2005,07　福　島,193.3
2010,07　福　島,182.6
2015,07　福　島,165.5
1960,07　福　島,134.1
1965,07　福　島,133.6
1970,07　福　島,129.9
1975,07　福　島,128.2
1980,07　福　島,125.5
1985,07　福　島,111.4
1990,07　福　島,105.3
1995,07　福　島,98
2000,07　福　島,99.1
2005,07　福　島,95.1
2010,07　福　島,89.2
2015,07　福　島,89.9
1960,08　茨　城,175.1
1965,08　茨　城,192.8
1970,08　茨　城,186.6
1975,08　茨　城,182.4
