ken,年次_seireki,gengo,renban,ken_n,死亡数,死亡率
全国,1899,明治32年,1,0,932087,21.5
全国,1900,33,2,0,910744,20.8
全国,1,34,3,0,925810,20.9
全国,2,35,4,0,959126,21.3
全国,3,36,5,0,931008,20.4
全国,4,37,6,0,955400,20.7
全国,5,38,7,0,1004661,21.6
全国,6,39,8,0,955256,20.3
全国,7,40,9,0,1016798,21.4
全国,8,41,10,0,1029447,21.5
全国,9,42,11,0,1091264,22.5
全国,1910,43,12,0,1064234,21.6
全国,11,44,13,0,1043906,20.9
全国,12,大正元年,14,0,1037016,20.5
全国,13,2,15,0,1027257,20
全国,14,3,16,0,1101815,21.2
全国,15,4,17,0,1093793,20.7
全国,16,5,18,0,1187832,22.2
全国,17,6,19,0,1199669,22.2
全国,18,7,20,0,1493162,27.3
全国,19,8,21,0,1281965,23.3
全国,1920,9,22,0,1422096,25.4
全国,21,10,23,0,1288570,22.7
全国,22,11,24,0,1286941,22.4
全国,23,12,25,0,1332485,22.9
全国,24,13,26,0,1254946,21.3
全国,25,14,27,0,1210706,20.3
全国,26,昭和元年,28,0,1160734,19.1
全国,27,2,29,0,1214323,19.7
全国,28,3,30,0,1236711,19.8
全国,29,4,31,0,1261228,19.9
全国,1930,5,32,0,1170867,18.2
全国,31,6,33,0,1240891,19
全国,32,7,34,0,1175344,17.7
全国,33,8,35,0,1193987,17.7
全国,34,9,36,0,1234684,18.1
全国,35,10,37,0,1161936,16.8
全国,36,11,38,0,1230278,17.5
全国,37,12,39,0,1207899,17.1
全国,38,13,40,0,1259805,17.7
全国,39,14,41,0,1268760,17.8
全国,1940,15,42,0,1186595,16.5
全国,41,16,43,0,1149559,16
全国,42,17,44,0,1166630,16.1
全国,43,18,45,0,1213811,16.7
全国,47,22,46,0,1138238,14.6
全国,48,23,47,0,950610,11.9
全国,49,24,48,0,945444,11.6
全国,1950,25,49,0,904876,10.9
全国,51,26,50,0,838998,9.9
全国,52,27,51,0,765068,8.9
全国,53,28,52,0,772547,8.9
全国,54,29,53,0,721491,8.2
全国,55,30,54,0,693523,7.8
全国,56,31,55,0,724460,8
全国,57,32,56,0,752445,8.3
全国,58,33,57,0,684189,7.4
全国,59,34,58,0,689959,7.4
全国,1960,35,59,0,706599,7.6
全国,61,36,60,0,695644,7.4
全国,62,37,61,0,710265,7.5
全国,63,38,62,0,670770,7
全国,64,39,63,0,673067,6.9
全国,65,40,64,0,700438,7.1
全国,66,41,65,0,670342,6.8
全国,67,42,66,0,675006,6.8
全国,68,43,67,0,686555,6.8
全国,69,44,68,0,693787,6.8
全国,1970,45,69,0,712962,6.9
全国,71,46,70,0,684521,6.6
全国,72,47,71,0,683751,6.5
全国,73,48,72,0,709416,6.6
全国,74,49,73,0,710510,6.5
全国,75,50,74,0,702275,6.3
全国,76,51,75,0,703270,6.3
全国,77,52,76,0,690074,6.1
全国,78,53,77,0,695821,6.1
全国,79,54,78,0,689664,6
全国,1980,55,79,0,722801,6.2
全国,81,56,80,0,720262,6.1
全国,82,57,81,0,711883,6
全国,83,58,82,0,740038,6.2
全国,84,59,83,0,740247,6.2
全国,85,60,84,0,752283,6.3
全国,86,61,85,0,750620,6.2
全国,87,62,86,0,751172,6.2
全国,88,63,87,0,793014,6.5
全国,89,平成元年,88,0,788594,6.4
全国,1990,2,89,0,820305,6.7
全国,91,3,90,0,829797,6.7
全国,92,4,91,0,856643,6.9
全国,93,5,92,0,878532,7.1
全国,94,6,93,0,875933,7.1
全国,95,7,94,0,922139,7.4
全国,96,8,95,0,896211,7.2
全国,97,9,96,0,913402,7.3
全国,98,10,97,0,936484,7.5
北海道,1899,明治32年,1,1,13876,17.2
北海道,1900,33,2,1,15137,17.8
北海道,1,34,3,1,17507,19.5
北海道,2,35,4,1,19567,20.7
北海道,3,36,5,1,19093,19.2
北海道,4,37,6,1,20772,19.7
北海道,5,38,7,1,22074,19.8
北海道,6,39,8,1,22124,18.8
北海道,7,40,9,1,25381,20.3
北海道,8,41,10,1,28801,21.8
北海道,9,42,11,1,29609,21.1
北海道,1910,43,12,1,31633,21.3
北海道,11,44,13,1,30832,20.4
北海道,12,大正元年,14,1,32891,20.8
北海道,13,2,15,1,32037,19.4
北海道,14,3,16,1,35339,20.4
北海道,15,4,17,1,34457,19
北海道,16,5,18,1,39372,20.8
北海道,17,6,19,1,40594,20.5
北海道,18,7,20,1,54055,26.4
北海道,19,8,21,1,49222,17.2
北海道,1920,9,22,1,51722,21.92
北海道,21,10,23,1,45059,18.22
北海道,22,11,24,1,45772,17.64
北海道,23,12,25,1,48624,17.9
北海道,24,13,26,1,46806,16.53
北海道,25,14,27,1,48053,19.23
北海道,26,昭和元年,28,1,43303,17.13
北海道,27,2,29,1,49904,19.52
北海道,28,3,30,1,48298,18.67
北海道,29,4,31,1,50545,19.31
北海道,1930,5,32,1,48820,17.36
北海道,31,6,33,1,48494,16.88
北海道,32,7,34,1,47654,16.24
北海道,33,8,35,1,50934,16.99
北海道,34,9,36,1,51732,16.9
北海道,35,10,37,1,48878,15.93
北海道,36,11,38,1,51177,16.39
北海道,37,12,39,1,51828,16.32
北海道,38,13,40,1,52077,16.14
北海道,39,14,41,1,55560,17.04
北海道,1940,15,42,1,51389,15.7
北海道,41,16,43,1,48577,14.63
北海道,42,17,44,1,50188,14.88
北海道,43,18,45,1,50573,.
北海道,47,22,46,1,51472,13.4
北海道,48,23,47,1,47227,11.7
北海道,49,24,48,1,48066,11.6
北海道,1950,25,49,1,42745,10
北海道,51,26,50,1,40987,9.3
北海道,52,27,51,1,35511,7.9
北海道,53,28,52,1,35636,7.8
北海道,54,29,53,1,33933,7.3
北海道,55,30,54,1,32729,6.9
北海道,56,31,55,1,32198,6.7
北海道,57,32,56,1,34036,6.9
北海道,58,33,57,1,30722,6.2
北海道,59,34,58,1,31460,6.2
北海道,1960,35,59,1,31509,6.3
北海道,61,36,60,1,31079,6.1
北海道,62,37,61,1,31719,6.2
北海道,63,38,62,1,29729,5.8
北海道,64,39,63,1,30581,5.9
北海道,65,40,64,1,31779,6.1
北海道,66,41,65,1,30966,6
北海道,67,42,66,1,30698,5.9
北海道,68,43,67,1,30883,5.9
北海道,69,44,68,1,31756,6.1
北海道,1970,45,69,1,31884,6.2
北海道,71,46,70,1,30700,5.9
北海道,72,47,71,1,30709,5.9
北海道,73,48,72,1,31566,6
北海道,74,49,73,1,30946,5.9
北海道,75,50,74,1,31037,5.8
北海道,76,51,75,1,30177,5.6
北海道,77,52,76,1,30428,5.6
北海道,78,53,77,1,30932,5.6
北海道,79,54,78,1,31091,5.6
北海道,1980,55,79,1,32434,5.8
北海道,81,56,80,1,32701,5.8
北海道,82,57,81,1,32537,5.8
北海道,83,58,82,1,33517,5.9
北海道,84,59,83,1,33067,5.8
北海道,85,60,84,1,34314,6
北海道,86,61,85,1,33600,5.9
北海道,87,62,86,1,33521,5.9
北海道,88,63,87,1,35546,6.3
北海道,89,平成元年,88,1,36080,6.4
北海道,1990,2,89,1,36720,6.5
北海道,91,3,90,1,36872,6.5
北海道,92,4,91,1,38484,6.8
北海道,93,5,92,1,39884,7.1
北海道,94,6,93,1,38939,6.9
北海道,95,7,94,1,40678,7.2
北海道,96,8,95,1,40742,7.2
北海道,97,9,96,1,41238,7.2
北海道,98,10,97,1,41755,7.3
青森,1899,明治32年,1,2,16711,27.3
青森,1900,33,2,2,13513,21.7
青森,1,34,3,2,14495,23
青森,2,35,4,2,14606,22.8
青森,3,36,5,2,12966,20
青森,4,37,6,2,13245,20.1
青森,5,38,7,2,14921,22.3
青森,6,39,8,2,13179,19.4
青森,7,40,9,2,15086,21.9
青森,8,41,10,2,14281,20.4
青森,9,42,11,2,15569,21.9
青森,1910,43,12,2,15877,22.1
青森,11,44,13,2,16028,22
青森,12,大正元年,14,2,16511,22.4
青森,13,2,15,2,15107,20.2
青森,14,3,16,2,16009,21.1
青森,15,4,17,2,15982,20.8
青森,16,5,18,2,18572,23.9
青森,17,6,19,2,19336,24.5
青森,18,7,20,2,23966,30.5
青森,19,8,21,2,19413,24.4
青森,1920,9,22,2,22215,29.37
青森,21,10,23,2,19529,25.53
青森,22,11,24,2,23298,30.13
青森,23,12,25,2,20757,26.56
青森,24,13,26,2,19439,24.58
青森,25,14,27,2,18872,23.21
青森,26,昭和元年,28,2,18570,22.52
青森,27,2,29,2,18937,22.64
青森,28,3,30,2,19674,23.18
青森,29,4,31,2,20252,23.52
青森,1930,5,32,2,19556,22.22
青森,31,6,33,2,18991,21.27
青森,32,7,34,2,19396,21.41
青森,33,8,35,2,18062,19.64
青森,34,9,36,2,19356,20.74
青森,35,10,37,2,18237,18.86
青森,36,11,38,2,21714,22.04
青森,37,12,39,2,19075,19.01
青森,38,13,40,2,19415,19.02
青森,39,14,41,2,20259,19.61
青森,1940,15,42,2,19462,19.45
青森,41,16,43,2,18305,18.19
青森,42,17,44,2,18976,18.68
青森,43,18,45,2,19519,.
青森,47,22,46,2,18092,15.3
青森,48,23,47,2,18024,14.8
青森,49,24,48,2,16770,13.4
青森,1950,25,49,2,16707,13
青森,51,26,50,2,15163,11.6
青森,52,27,51,2,12879,9.7
青森,53,28,52,2,12746,9.5
青森,54,29,53,2,12065,8.9
青森,55,30,54,2,11094,8
青森,56,31,55,2,11747,8.4
青森,57,32,56,2,11760,8.3
青森,58,33,57,2,10722,7.5
青森,59,34,58,2,11094,7.7
青森,1960,35,59,2,10742,7.5
青森,61,36,60,2,10352,7.2
青森,62,37,61,2,10545,7.4
青森,63,38,62,2,9510,6.7
青森,64,39,63,2,9569,6.7
青森,65,40,64,2,9805,6.9
青森,66,41,65,2,9509,6.7
青森,67,42,66,2,9456,6.6
青森,68,43,67,2,9617,6.7
青森,69,44,68,2,9526,6.6
青森,1970,45,69,2,9669,6.8
青森,71,46,70,2,9283,6.5
青森,72,47,71,2,9439,6.6
青森,73,48,72,2,9708,6.8
青森,74,49,73,2,9646,6.7
青森,75,50,74,2,9546,6.5
青森,76,51,75,2,9614,6.5
青森,77,52,76,2,9521,6.4
青森,78,53,77,2,9913,6.6
青森,79,54,78,2,9741,6.4
青森,1980,55,79,2,10052,6.6
青森,81,56,80,2,9874,6.5
青森,82,57,81,2,9863,6.5
青森,83,58,82,2,10232,6.7
青森,84,59,83,2,10498,6.9
青森,85,60,84,2,10547,6.9
青森,86,61,85,2,10043,6.6
青森,87,62,86,2,10200,6.7
青森,88,63,87,2,10751,7.1
青森,89,平成元年,88,2,10901,7.3
青森,1990,2,89,2,10812,7.3
青森,91,3,90,2,11241,7.6
青森,92,4,91,2,11631,7.9
青森,93,5,92,2,12210,8.3
青森,94,6,93,2,11950,8.1
青森,95,7,94,2,12496,8.5
青森,96,8,95,2,12542,8.5
青森,97,9,96,2,12768,8.6
青森,98,10,97,2,12752,8.6
岩手,1899,明治32年,1,3,19536,27.4
岩手,1900,33,2,3,14043,19.5
岩手,1,34,3,3,16918,23.4
岩手,2,35,4,3,16248,22.3
岩手,3,36,5,3,16702,22.7
岩手,4,37,6,3,14516,19.6
岩手,5,38,7,3,17275,23.2
岩手,6,39,8,3,14857,19.8
岩手,7,40,9,3,16588,22
岩手,8,41,10,3,14838,19.5
岩手,9,42,11,3,15769,20.6
岩手,1910,43,12,3,16291,21.1
岩手,11,44,13,3,18719,23.4
岩手,12,大正元年,14,3,16501,20.3
岩手,13,2,15,3,16279,19.7
岩手,14,3,16,3,17050,20.3
岩手,15,4,17,3,17820,20.8
岩手,16,5,18,3,21847,25.1
岩手,17,6,19,3,19354,21.9
岩手,18,7,20,3,25600,30.2
岩手,19,8,21,3,23182,27.2
岩手,1920,9,22,3,22313,26.39
岩手,21,10,23,3,21262,24.87
岩手,22,11,24,3,23565,27.27
岩手,23,12,25,3,20979,24.03
岩手,24,13,26,3,22087,25.04
岩手,25,14,27,3,20362,22.6
岩手,26,昭和元年,28,3,19139,20.97
岩手,27,2,29,3,20251,21.91
岩手,28,3,30,3,21363,22.82
岩手,29,4,31,3,19781,20.87
岩手,1930,5,32,3,20214,20.72
岩手,31,6,33,3,19753,19.95
岩手,32,7,34,3,20956,20.85
岩手,33,8,35,3,22648,22.2
岩手,34,9,36,3,21108,20.39
岩手,35,10,37,3,19194,18.35
岩手,36,11,38,3,21478,20.25
岩手,37,12,39,3,21613,20.1
岩手,38,13,40,3,21375,19.62
岩手,39,14,41,3,21443,19.51
岩手,1940,15,42,3,22025,20.1
岩手,41,16,43,3,20128,18.2
岩手,42,17,44,3,21057,18.85
岩手,43,18,45,3,22642,.
岩手,47,22,46,3,19619,15.5
岩手,48,23,47,3,19194,14.8
岩手,49,24,48,3,18322,13.8
岩手,1950,25,49,3,17575,13.1
岩手,51,26,50,3,16501,12.1
岩手,52,27,51,3,14123,10.2
岩手,53,28,52,3,13965,10
岩手,54,29,53,3,12902,9.1
岩手,55,30,54,3,12461,8.7
岩手,56,31,55,3,12661,8.8
岩手,57,32,56,3,12794,8.9
岩手,58,33,57,3,11480,7.9
岩手,59,34,58,3,11737,8
岩手,1960,35,59,3,11586,8
岩手,61,36,60,3,11222,7.8
岩手,62,37,61,3,11508,8
岩手,63,38,62,3,10166,7.1
岩手,64,39,63,3,10493,7.4
岩手,65,40,64,3,10799,7.7
岩手,66,41,65,3,10287,7.3
岩手,67,42,66,3,10146,7.2
岩手,68,43,67,3,10148,7.3
岩手,69,44,68,3,10447,7.5
岩手,1970,45,69,3,10546,7.7
岩手,71,46,70,3,10226,7.5
岩手,72,47,71,3,9830,7.2
岩手,73,48,72,3,10408,7.7
岩手,74,49,73,3,10286,7.5
岩手,75,50,74,3,9943,7.2
岩手,76,51,75,3,9817,7
岩手,77,52,76,3,9701,6.9
岩手,78,53,77,3,9582,6.8
岩手,79,54,78,3,9396,6.7
岩手,1980,55,79,3,9892,7
岩手,81,56,80,3,9700,6.8
岩手,82,57,81,3,9587,6.7
岩手,83,58,82,3,10097,7.1
岩手,84,59,83,3,10001,7
岩手,85,60,84,3,10073,6.9
岩手,86,61,85,3,10249,7.2
岩手,87,62,86,3,10159,7.1
岩手,88,63,87,3,10593,7.5
岩手,89,平成元年,88,3,10683,7.5
岩手,1990,2,89,3,10882,7.7
岩手,91,3,90,3,11245,8
岩手,92,4,91,3,11397,8.1
岩手,93,5,92,3,11792,8.3
岩手,94,6,93,3,11406,8.1
岩手,95,7,94,3,12043,8.5
岩手,96,8,95,3,11870,8.4
岩手,97,9,96,3,12218,8.6
岩手,98,10,97,3,12376,8.8
宮城,1899,明治32年,1,4,18152,21.6
宮城,1900,33,2,4,16582,18.6
宮城,1,34,3,4,17131,19.9
宮城,2,35,4,4,16813,19.3
宮城,3,36,5,4,16194,18.4
宮城,4,37,6,4,17352,19.8
宮城,5,38,7,4,18100,20.8
宮城,6,39,8,4,16685,19.3
宮城,7,40,9,4,16924,19.7
宮城,8,41,10,4,16885,19.8
宮城,9,42,11,4,17729,20.9
宮城,1910,43,12,4,18156,21.5
宮城,11,44,13,4,18540,20.9
宮城,12,大正元年,14,4,17843,19.8
宮城,13,2,15,4,17791,19.5
宮城,14,3,16,4,17770,19.2
宮城,15,4,17,4,18505,19.7
宮城,16,5,18,4,21570,22.7
宮城,17,6,19,4,20391,21.2
宮城,18,7,20,4,25645,27.4
宮城,19,8,21,4,23798,25.4
宮城,1920,9,22,4,25047,26.04
宮城,21,10,23,4,22184,22.91
宮城,22,11,24,4,23213,23.8
宮城,23,12,25,4,23156,23.6
宮城,24,13,26,4,22420,22.6
宮城,25,14,27,4,20972,20.09
宮城,26,昭和元年,28,4,20347,19.18
宮城,27,2,29,4,21251,19.7
宮城,28,3,30,4,21809,19.9
宮城,29,4,31,4,21695,19.48
宮城,1930,5,32,4,21104,18.47
宮城,31,6,33,4,20418,17.57
宮城,32,7,34,4,20403,17.27
宮城,33,8,35,4,20912,17.41
宮城,34,9,36,4,20778,17.01
宮城,35,10,37,4,20589,16.67
宮城,36,11,38,4,21004,16.75
宮城,37,12,39,4,20919,16.43
宮城,38,13,40,4,20826,16.12
宮城,39,14,41,4,20971,16.08
宮城,1940,15,42,4,20793,16.36
宮城,41,16,43,4,19451,15.25
宮城,42,17,44,4,20379,15.89
