
平成12年,都道府県別生命表,,（年）

表00003,特定死因を除去した場合の平均余命の延び　－全国－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.14,4.12,4.09,3.10,3.07,3.04,2.93,2.01
心疾患,1.59,1.55,1.49,1.22,1.75,1.72,1.71,1.64
脳血管疾患,1.32,1.30,1.29,1.13,1.59,1.58,1.57,1.47
３大死因（計）,9.05,9.02,8.93,7.33,8.34,8.31,8.18,6.97
肺炎,0.93,0.90,0.91,0.95,0.90,0.87,0.87,0.89
不慮の事故,0.78,0.63,0.44,0.26,0.43,0.34,0.29,0.23
（再掲）交通事故,0.37,0.27,0.14,0.06,0.16,0.11,0.08,0.05
自殺,0.76,0.71,0.45,0.09,0.35,0.31,0.19,0.07
腎不全,0.17,0.14,0.14,0.14,0.21,0.18,0.18,0.18
肝疾患,0.30,0.27,0.26,0.10,0.14,0.12,0.12,0.08
糖尿病,0.16,0.13,0.13,0.09,0.15,0.13,0.12,0.11
高血圧性疾患,0.07,0.04,0.04,0.04,0.10,0.08,0.08,0.08
結核,0.07,0.04,0.04,0.03,0.04,0.02,0.02,0.01
