
平成12年,都道府県別生命表,,（年）

表01003,特定死因を除去した場合の平均余命の延び　－北海道－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.38,4.36,4.33,3.28,3.36,3.31,3.19,2.23
心疾患,1.74,1.69,1.63,1.32,2.00,1.97,1.95,1.87
脳血管疾患,1.31,1.29,1.27,1.09,1.58,1.56,1.55,1.43
３大死因（計）,9.59,9.56,9.47,7.71,9.35,9.31,9.15,7.88
肺炎,0.98,0.95,0.96,1.02,0.97,0.94,0.94,0.97
不慮の事故,0.91,0.73,0.45,0.22,0.44,0.34,0.26,0.17
（再掲）交通事故,0.49,0.36,0.16,0.06,0.20,0.14,0.09,0.04
自殺,0.86,0.81,0.49,0.10,0.34,0.30,0.20,0.08
腎不全,0.23,0.20,0.20,0.19,0.29,0.27,0.27,0.26
肝疾患,0.22,0.19,0.19,0.08,0.14,0.11,0.11,0.08
糖尿病,0.17,0.14,0.14,0.10,0.18,0.16,0.15,0.14
高血圧性疾患,0.05,0.02,0.02,0.02,0.08,0.06,0.06,0.06
結核,0.05,0.02,0.02,0.02,0.04,0.01,0.01,0.01
