
平成12年,都道府県別生命表,,（年）

表02003,特定死因を除去した場合の平均余命の延び　－青森県－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.98,3.97,3.96,2.89,2.97,2.94,2.81,1.89
心疾患,1.63,1.59,1.52,1.21,1.78,1.72,1.71,1.63
脳血管疾患,1.48,1.46,1.46,1.23,1.75,1.72,1.72,1.58
３大死因（計）,9.03,9.04,8.96,7.12,8.40,8.38,8.23,6.98
肺炎,0.93,0.89,0.89,0.95,0.94,0.90,0.91,0.93
不慮の事故,0.89,0.75,0.52,0.26,0.51,0.40,0.33,0.22
（再掲）交通事故,0.41,0.30,0.16,0.06,0.20,0.13,0.09,0.05
自殺,0.90,0.85,0.56,0.11,0.38,0.33,0.22,0.08
腎不全,0.19,0.16,0.16,0.15,0.27,0.23,0.23,0.21
肝疾患,0.33,0.30,0.28,0.10,0.17,0.11,0.11,0.07
糖尿病,0.17,0.14,0.14,0.09,0.19,0.15,0.14,0.13
高血圧性疾患,0.06,0.03,0.03,0.03,0.11,0.06,0.06,0.06
結核,0.05,0.02,0.02,0.02,0.06,0.01,0.01,0.01
