
平成12年,都道府県生命表,,（年）

表03003,特定死因を除去した場合の平均余命の延び　－岩手県－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.81,3.79,3.74,2.82,2.88,2.85,2.72,1.85
心疾患,1.58,1.55,1.49,1.20,1.78,1.74,1.74,1.65
脳血管疾患,1.60,1.59,1.58,1.36,1.93,1.91,1.90,1.78
３大死因（計）,9.10,9.08,8.96,7.35,8.80,8.77,8.63,7.43
肺炎,0.93,0.92,0.92,0.98,0.97,0.94,0.93,0.95
不慮の事故,0.86,0.75,0.52,0.28,0.42,0.34,0.29,0.22
（再掲）交通事故,0.41,0.32,0.19,0.07,0.19,0.13,0.09,0.05
自殺,1.01,0.97,0.61,0.13,0.41,0.38,0.27,0.12
腎不全,0.18,0.17,0.16,0.15,0.24,0.21,0.21,0.21
肝疾患,0.23,0.22,0.21,0.09,0.12,0.10,0.09,0.06
糖尿病,0.14,0.13,0.13,0.09,0.15,0.13,0.12,0.11
高血圧性疾患,0.05,0.04,0.03,0.03,0.10,0.08,0.08,0.08
結核,0.04,0.02,0.02,0.02,0.04,0.01,0.01,0.01
