
平成12年,都道府県別生命表,,（年）

表04003,特定死因を除去した場合の平均余命の延び　－宮城県－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.05,4.02,3.99,3.03,3.09,3.06,2.95,2.02
心疾患,1.57,1.52,1.46,1.19,1.67,1.64,1.63,1.56
脳血管疾患,1.55,1.53,1.51,1.32,1.83,1.82,1.81,1.71
３大死因（計）,9.32,9.30,9.20,7.58,8.85,8.82,8.69,7.47
肺炎,0.89,0.85,0.86,0.91,0.76,0.74,0.74,0.76
不慮の事故,0.86,0.69,0.48,0.27,0.41,0.33,0.29,0.22
（再掲）交通事故,0.44,0.32,0.16,0.06,0.13,0.08,0.06,0.03
自殺,0.81,0.75,0.45,0.09,0.34,0.30,0.18,0.08
腎不全,0.16,0.13,0.13,0.13,0.20,0.19,0.18,0.18
肝疾患,0.24,0.21,0.20,0.09,0.12,0.10,0.10,0.06
糖尿病,0.14,0.11,0.11,0.08,0.14,0.12,0.12,0.11
高血圧性疾患,0.06,0.03,0.03,0.03,0.09,0.07,0.07,0.07
結核,0.05,0.02,0.02,0.02,0.03,0.01,0.01,0.01
