
平成12年,都道府県別生命表,,（年）

表05003,特定死因を除去した場合の平均余命の延び　－秋田県－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.31,4.29,4.22,3.17,3.02,2.98,2.86,1.95
心疾患,1.31,1.26,1.19,1.01,1.57,1.52,1.51,1.48
脳血管疾患,1.59,1.56,1.56,1.42,1.89,1.88,1.88,1.77
３大死因（計）,9.59,9.57,9.44,7.92,8.63,8.60,8.47,7.31
肺炎,0.91,0.87,0.88,0.92,0.77,0.75,0.74,0.75
不慮の事故,0.85,0.71,0.53,0.29,0.40,0.34,0.28,0.23
（再掲）交通事故,0.32,0.25,0.15,0.06,0.15,0.10,0.06,0.03
自殺,1.06,1.00,0.69,0.15,0.46,0.41,0.30,0.13
腎不全,0.17,0.14,0.14,0.14,0.21,0.18,0.18,0.18
肝疾患,0.21,0.18,0.18,0.07,0.13,0.10,0.09,0.06
糖尿病,0.15,0.11,0.11,0.07,0.13,0.10,0.10,0.09
高血圧性疾患,0.05,0.02,0.02,0.02,0.07,0.04,0.04,0.04
結核,0.05,0.02,0.02,0.01,0.04,0.01,0.01,0.01
