
平成12年,都道府県別生命表,,（年）

表06003,特定死因を除去した場合の平均余命の延び　－山形県－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.24,4.19,4.17,3.20,2.91,2.91,2.78,1.97
心疾患,1.59,1.53,1.47,1.14,1.51,1.46,1.44,1.37
脳血管疾患,1.51,1.48,1.48,1.37,1.78,1.77,1.77,1.68
３大死因（計）,9.66,9.62,9.55,7.95,8.02,8.01,7.85,6.80
肺炎,0.81,0.76,0.76,0.79,0.67,0.64,0.63,0.64
不慮の事故,0.82,0.65,0.48,0.28,0.43,0.35,0.30,0.22
（再掲）交通事故,0.34,0.23,0.12,0.06,0.18,0.11,0.09,0.05
自殺,0.82,0.77,0.47,0.11,0.33,0.30,0.19,0.09
腎不全,0.19,0.15,0.14,0.13,0.17,0.15,0.15,0.14
肝疾患,0.22,0.18,0.17,0.06,0.12,0.10,0.10,0.06
糖尿病,0.17,0.13,0.11,0.07,0.13,0.11,0.11,0.09
高血圧性疾患,0.07,0.03,0.03,0.03,0.09,0.07,0.07,0.07
結核,0.06,0.02,0.02,0.02,0.03,0.01,0.01,0.01
