
平成12年,都道府県別生命表,,（年）

表07003,特定死因を除去した場合の平均余命の延び　－福島県－

死因  ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.90,3.87,3.86,2.91,2.96,2.91,2.78,1.89
心疾患,1.72,1.66,1.58,1.27,1.75,1.71,1.69,1.58
脳血管疾患,1.45,1.42,1.41,1.24,1.83,1.81,1.80,1.69
３大死因（計）,9.31,9.26,9.18,7.56,8.55,8.52,8.36,7.11
肺炎,0.86,0.83,0.83,0.86,0.81,0.76,0.76,0.77
不慮の事故,0.82,0.65,0.46,0.27,0.46,0.35,0.29,0.22
（再掲）交通事故,0.39,0.29,0.15,0.06,0.18,0.12,0.08,0.04
自殺,0.82,0.76,0.43,0.09,0.33,0.29,0.19,0.08
腎不全,0.17,0.13,0.13,0.12,0.19,0.16,0.16,0.15
肝疾患,0.25,0.23,0.23,0.08,0.14,0.11,0.10,0.07
糖尿病,0.18,0.15,0.15,0.09,0.17,0.15,0.14,0.13
高血圧性疾患,0.07,0.04,0.03,0.03,0.08,0.06,0.06,0.06
結核,0.06,0.03,0.03,0.02,0.04,0.01,0.01,0.01
