
平成12年,都道府県別生命表,,（年）

表08003,特定死因を除去した場合の平均余命の延び　－茨城県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.97,3.95,3.94,3.00,2.92,2.88,2.76,1.88
心疾患,1.68,1.62,1.56,1.26,1.76,1.71,1.70,1.62
脳血管疾患,1.53,1.50,1.49,1.31,1.85,1.82,1.81,1.71
３大死因（計）,9.50,9.47,9.40,7.79,8.48,8.45,8.31,7.13
肺炎,0.88,0.84,0.85,0.89,0.88,0.83,0.83,0.84
不慮の事故,0.98,0.79,0.53,0.31,0.47,0.37,0.32,0.23
（再掲）交通事故,0.55,0.41,0.21,0.09,0.24,0.16,0.11,0.06
自殺,0.77,0.70,0.42,0.09,0.36,0.31,0.18,0.07
腎不全,0.18,0.15,0.15,0.14,0.20,0.16,0.16,0.16
肝疾患,0.27,0.24,0.23,0.09,0.16,0.12,0.12,0.09
糖尿病,0.20,0.17,0.16,0.11,0.17,0.14,0.13,0.12
高血圧性疾患,0.07,0.04,0.04,0.03,0.12,0.08,0.08,0.08
結核,0.06,0.02,0.02,0.02,0.05,0.01,0.01,0.01
