
平成12年,都道府県別生命表,,（年）

表09003,特定死因を除去した場合の平均余命の延び　－栃木県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.94,3.90,3.86,2.94,2.95,2.92,2.79,1.87
心疾患,1.73,1.67,1.62,1.28,1.76,1.73,1.71,1.60
脳血管疾患,1.61,1.57,1.55,1.36,1.88,1.87,1.86,1.75
３大死因（計）,9.50,9.48,9.38,7.70,8.66,8.65,8.49,7.23
肺炎,0.94,0.88,0.88,0.93,0.91,0.87,0.86,0.88
不慮の事故,0.86,0.67,0.45,0.25,0.39,0.30,0.26,0.19
（再掲）交通事故,0.48,0.33,0.17,0.07,0.18,0.11,0.09,0.05
自殺,0.78,0.71,0.44,0.11,0.39,0.35,0.22,0.09
腎不全,0.18,0.13,0.13,0.12,0.15,0.13,0.13,0.13
肝疾患,0.28,0.24,0.23,0.10,0.14,0.12,0.11,0.09
糖尿病,0.16,0.12,0.12,0.08,0.16,0.14,0.13,0.12
高血圧性疾患,0.07,0.03,0.03,0.03,0.09,0.06,0.06,0.07
結核,0.07,0.03,0.03,0.03,0.04,0.01,0.01,0.01
