
平成１２年,都道府県別生命表,,（年）

表10003,特定死因を除去した場合の平均余命の延び　－群馬県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.80,3.78,3.74,2.84,2.85,2.82,2.71,1.84
心疾患,1.63,1.60,1.54,1.23,1.66,1.64,1.63,1.54
脳血管疾患,1.39,1.37,1.35,1.17,1.70,1.69,1.68,1.56
３大死因（計）,8.65,8.65,8.53,6.96,7.96,7.94,7.80,6.60
肺炎,1.06,1.02,1.03,1.09,0.99,0.97,0.97,0.98
不慮の事故,0.79,0.64,0.47,0.30,0.43,0.34,0.30,0.24
（再掲）交通事故,0.39,0.28,0.15,0.08,0.18,0.12,0.10,0.06
自殺,0.78,0.72,0.43,0.10,0.35,0.32,0.22,0.09
腎不全,0.16,0.13,0.13,0.12,0.18,0.16,0.16,0.16
肝疾患,0.27,0.24,0.24,0.09,0.15,0.13,0.13,0.09
糖尿病,0.16,0.13,0.13,0.08,0.14,0.12,0.12,0.11
高血圧性疾患,0.08,0.06,0.05,0.05,0.10,0.08,0.08,0.09
結核,0.05,0.03,0.03,0.02,0.04,0.02,0.02,0.02
