
平成12年,都道府県別生命表,,（年）

表11003,特定死因を除去した場合の平均余命の延び　－埼玉県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.10,4.08,4.04,3.09,3.08,3.04,2.93,2.02
心疾患,1.80,1.76,1.71,1.40,1.92,1.88,1.87,1.80
脳血管疾患,1.41,1.39,1.38,1.19,1.70,1.68,1.67,1.56
３大死因（計）,9.63,9.61,9.52,7.87,8.75,8.70,8.57,7.34
肺炎,1.01,0.99,0.99,1.06,1.03,1.01,1.00,1.03
不慮の事故,0.64,0.51,0.36,0.22,0.36,0.28,0.25,0.20
（再掲）交通事故,0.31,0.22,0.11,0.05,0.16,0.10,0.08,0.05
自殺,0.67,0.62,0.39,0.09,0.35,0.31,0.19,0.08
腎不全,0.16,0.14,0.14,0.13,0.22,0.19,0.19,0.19
肝疾患,0.26,0.23,0.23,0.10,0.15,0.13,0.12,0.09
糖尿病,0.16,0.13,0.13,0.09,0.14,0.12,0.12,0.10
高血圧性疾患,0.06,0.03,0.03,0.03,0.09,0.06,0.06,0.07
結核,0.07,0.04,0.04,0.04,0.04,0.02,0.02,0.02
