
平成12年,都道府県別生命表,,（年）

表12003,特定死因を除去した場合の平均余命の延び　－千葉県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.05,4.03,4.00,3.04,2.99,2.96,2.85,1.92
心疾患,1.74,1.70,1.64,1.36,1.99,1.95,1.93,1.88
脳血管疾患,1.41,1.38,1.36,1.19,1.60,1.58,1.57,1.48
３大死因（計）,9.35,9.32,9.22,7.60,8.61,8.57,8.45,7.23
肺炎,0.95,0.92,0.93,0.98,0.94,0.91,0.91,0.93
不慮の事故,0.75,0.60,0.41,0.24,0.38,0.31,0.25,0.20
（再掲）交通事故,0.39,0.28,0.15,0.06,0.15,0.10,0.07,0.04
自殺,0.68,0.61,0.39,0.08,0.31,0.27,0.16,0.06
腎不全,0.17,0.14,0.13,0.13,0.19,0.16,0.16,0.16
肝疾患,0.26,0.23,0.22,0.09,0.14,0.11,0.11,0.08
糖尿病,0.17,0.14,0.14,0.10,0.16,0.14,0.14,0.12
高血圧性疾患,0.08,0.05,0.05,0.05,0.13,0.11,0.11,0.11
結核,0.07,0.04,0.03,0.03,0.04,0.01,0.01,0.01
