
平成12年,都道府県別生命表,,（年）

表13003,特定死因を除去した場合の平均余命の延び　－東京都－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.29,4.26,4.24,3.23,3.27,3.23,3.13,2.15
心疾患,1.65,1.62,1.57,1.31,1.75,1.72,1.71,1.67
脳血管疾患,1.33,1.31,1.30,1.12,1.54,1.52,1.52,1.41
３大死因（計）,9.43,9.42,9.35,7.70,8.59,8.56,8.44,7.19
肺炎,1.00,0.96,0.97,1.01,0.93,0.89,0.89,0.91
不慮の事故,0.54,0.43,0.31,0.19,0.30,0.25,0.22,0.17
（再掲）交通事故,0.22,0.15,0.07,0.02,0.09,0.06,0.04,0.02
自殺,0.70,0.65,0.41,0.08,0.37,0.33,0.19,0.06
腎不全,0.17,0.15,0.15,0.14,0.20,0.17,0.17,0.17
肝疾患,0.38,0.36,0.34,0.12,0.16,0.14,0.13,0.09
糖尿病,0.17,0.15,0.15,0.11,0.15,0.13,0.12,0.11
高血圧性疾患,0.06,0.04,0.04,0.04,0.09,0.07,0.07,0.07
結核,0.08,0.06,0.06,0.04,0.04,0.02,0.02,0.02
