
平成12年,都道府県別生命表,,（年）

表15003,特定死因を除去した場合の平均余命の延び　－新潟県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.28,4.24,4.19,3.16,2.90,2.86,2.75,1.89
心疾患,1.45,1.42,1.35,1.12,1.51,1.47,1.45,1.39
脳血管疾患,1.49,1.47,1.46,1.32,1.80,1.78,1.79,1.71
３大死因（計）,9.47,9.46,9.34,7.77,8.09,8.05,7.91,6.82
肺炎,0.79,0.76,0.76,0.80,0.70,0.68,0.68,0.69
不慮の事故,0.91,0.74,0.55,0.34,0.50,0.41,0.36,0.28
（再掲）交通事故,0.39,0.28,0.16,0.08,0.19,0.13,0.10,0.05
自殺,0.97,0.92,0.59,0.14,0.44,0.41,0.29,0.14
腎不全,0.12,0.10,0.10,0.09,0.15,0.13,0.13,0.13
肝疾患,0.21,0.19,0.18,0.07,0.10,0.08,0.08,0.05
糖尿病,0.15,0.12,0.12,0.08,0.14,0.12,0.12,0.11
高血圧性疾患,0.07,0.04,0.04,0.04,0.12,0.10,0.10,0.10
結核,0.05,0.02,0.02,0.02,0.03,0.01,0.01,0.01
