
平成12年,都道府県別生命表,,（年）

表16003,特定死因を除去した場合の平均余命の延び　－富山県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.03,4.01,3.97,3.00,3.05,3.03,2.93,2.03
心疾患,1.42,1.37,1.32,1.08,1.62,1.61,1.60,1.55
脳血管疾患,1.33,1.31,1.30,1.17,1.67,1.66,1.67,1.58
３大死因（計）,8.58,8.56,8.46,6.96,8.49,8.48,8.38,7.25
肺炎,1.03,1.01,1.02,1.08,0.95,0.94,0.94,0.94
不慮の事故,0.88,0.73,0.59,0.38,0.50,0.43,0.38,0.29
（再掲）交通事故,0.35,0.26,0.17,0.09,0.18,0.14,0.11,0.06
自殺,0.82,0.76,0.50,0.13,0.40,0.35,0.23,0.11
腎不全,0.12,0.10,0.10,0.10,0.19,0.18,0.18,0.18
肝疾患,0.22,0.20,0.19,0.07,0.13,0.12,0.11,0.08
糖尿病,0.17,0.16,0.16,0.10,0.13,0.11,0.11,0.10
高血圧性疾患,0.06,0.04,0.04,0.04,0.08,0.06,0.06,0.06
結核,0.05,0.03,0.03,0.03,0.04,0.02,0.02,0.02
