
平成12年,都道府県別生命表,,（年）

表17003,特定死因を除去した場合の平均余命の延び　－石川県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.09,4.06,4.02,3.01,3.11,3.07,2.95,2.05
心疾患,1.54,1.50,1.44,1.14,1.78,1.73,1.70,1.63
脳血管疾患,1.28,1.25,1.24,1.12,1.62,1.59,1.60,1.55
３大死因（計）,8.78,8.73,8.63,7.02,8.44,8.39,8.24,7.12
肺炎,0.98,0.96,0.96,1.00,1.02,1.00,0.99,1.01
不慮の事故,0.81,0.68,0.51,0.33,0.49,0.42,0.35,0.28
（再掲）交通事故,0.32,0.25,0.15,0.09,0.19,0.15,0.10,0.06
自殺,0.74,0.68,0.43,0.08,0.32,0.28,0.17,0.06
腎不全,0.12,0.10,0.10,0.09,0.19,0.16,0.16,0.16
肝疾患,0.22,0.19,0.18,0.07,0.14,0.12,0.12,0.08
糖尿病,0.15,0.13,0.13,0.10,0.15,0.12,0.12,0.11
高血圧性疾患,0.06,0.04,0.04,0.04,0.10,0.07,0.07,0.07
結核,0.05,0.02,0.02,0.02,0.05,0.02,0.02,0.02
