
平成12年,都道府県別生命表,,（年）

表18003,特定死因を除去した場合の平均余命の延び　－福井県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.87,3.81,3.78,2.89,3.05,2.98,2.91,2.09
心疾患,1.63,1.60,1.52,1.26,1.79,1.73,1.72,1.66
脳血管疾患,1.18,1.16,1.16,1.08,1.41,1.39,1.37,1.32
３大死因（計）,8.65,8.61,8.49,7.15,8.14,8.05,7.94,6.92
肺炎,0.94,0.92,0.93,0.97,0.82,0.79,0.78,0.77
不慮の事故,0.90,0.74,0.56,0.36,0.52,0.44,0.36,0.27
（再掲）交通事故,0.43,0.32,0.17,0.09,0.24,0.18,0.12,0.07
自殺,0.72,0.67,0.48,0.10,0.27,0.24,0.17,0.07
腎不全,0.17,0.14,0.15,0.13,0.21,0.18,0.18,0.18
肝疾患,0.24,0.22,0.22,0.10,0.15,0.12,0.11,0.09
糖尿病,0.15,0.13,0.12,0.10,0.16,0.13,0.13,0.12
高血圧性疾患,0.05,0.02,0.02,0.03,0.08,0.05,0.05,0.05
結核,0.05,0.03,0.03,0.02,0.04,0.01,0.01,0.01
