
平成12年,都道府県別生命表,,（年）

表19003,特定死因を除去した場合の平均余命の延び　－山梨県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.88,3.85,3.82,2.89,2.88,2.88,2.75,1.94
心疾患,1.68,1.64,1.58,1.25,1.88,1.86,1.85,1.73
脳血管疾患,1.22,1.19,1.19,1.00,1.53,1.53,1.54,1.45
３大死因（計）,8.46,8.42,8.34,6.69,8.30,8.31,8.18,7.05
肺炎,0.81,0.79,0.80,0.84,0.82,0.77,0.77,0.78
不慮の事故,0.87,0.67,0.46,0.25,0.51,0.42,0.32,0.25
（再掲）交通事故,0.39,0.30,0.15,0.06,0.19,0.15,0.10,0.05
自殺,0.77,0.72,0.50,0.09,0.27,0.24,0.17,0.06
腎不全,0.18,0.15,0.14,0.14,0.18,0.16,0.16,0.16
肝疾患,0.28,0.26,0.25,0.10,0.15,0.14,0.13,0.10
糖尿病,0.18,0.15,0.15,0.10,0.12,0.11,0.11,0.10
高血圧性疾患,0.07,0.04,0.04,0.04,0.06,0.06,0.06,0.06
結核,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.01
