
平成12年,都道府県別生命表,,（年）

表21003,特定死因を除去した場合の平均余命の延び　－岐阜県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.93,3.90,3.87,2.92,3.03,2.98,2.87,1.93
心疾患,1.61,1.57,1.51,1.25,1.87,1.84,1.83,1.75
脳血管疾患,1.28,1.26,1.25,1.09,1.51,1.49,1.48,1.38
３大死因（計）,8.68,8.66,8.56,7.02,8.22,8.17,8.05,6.81
肺炎,0.89,0.86,0.87,0.90,0.81,0.79,0.78,0.79
不慮の事故,0.83,0.68,0.47,0.29,0.54,0.43,0.36,0.29
（再掲）交通事故,0.41,0.30,0.15,0.07,0.22,0.16,0.11,0.07
自殺,0.74,0.68,0.41,0.08,0.35,0.30,0.19,0.10
腎不全,0.19,0.16,0.16,0.15,0.20,0.17,0.17,0.16
肝疾患,0.23,0.20,0.20,0.09,0.13,0.11,0.10,0.08
糖尿病,0.15,0.11,0.11,0.08,0.14,0.11,0.11,0.09
高血圧性疾患,0.06,0.03,0.03,0.03,0.09,0.06,0.06,0.06
結核,0.06,0.03,0.03,0.03,0.06,0.03,0.03,0.03
