
平成12年,都道府県別生命表,,（年）

表22003,特定死因を除去した場合の平均余命の延び　－静岡県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.88,3.85,3.83,2.91,2.81,2.78,2.67,1.79
心疾患,1.60,1.56,1.50,1.21,1.79,1.73,1.72,1.66
脳血管疾患,1.41,1.39,1.38,1.19,1.67,1.65,1.65,1.55
３大死因（計）,8.80,8.77,8.68,7.09,8.07,8.02,7.89,6.74
肺炎,0.81,0.77,0.78,0.81,0.78,0.74,0.74,0.75
不慮の事故,0.82,0.66,0.47,0.29,0.47,0.38,0.33,0.26
（再掲）交通事故,0.38,0.28,0.14,0.06,0.18,0.12,0.09,0.06
自殺,0.67,0.63,0.40,0.09,0.28,0.25,0.15,0.06
腎不全,0.16,0.14,0.14,0.13,0.20,0.18,0.18,0.17
肝疾患,0.24,0.22,0.21,0.09,0.12,0.09,0.09,0.07
糖尿病,0.17,0.15,0.15,0.10,0.17,0.14,0.14,0.12
高血圧性疾患,0.07,0.04,0.04,0.04,0.12,0.09,0.09,0.10
結核,0.05,0.03,0.03,0.03,0.04,0.01,0.01,0.01
