
平成12年,都道府県別生命表,,（年）

表23003,特定死因を除去した場合の平均余命の延び　－愛知県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.01,3.98,3.94,2.98,3.05,3.01,2.90,1.97
心疾患,1.74,1.70,1.65,1.36,1.88,1.84,1.82,1.76
脳血管疾患,1.31,1.29,1.28,1.11,1.55,1.53,1.52,1.42
３大死因（計）,9.12,9.09,8.99,7.38,8.38,8.34,8.21,6.98
肺炎,0.91,0.88,0.88,0.93,0.84,0.81,0.81,0.83
不慮の事故,0.79,0.63,0.44,0.29,0.46,0.38,0.33,0.27
（再掲）交通事故,0.39,0.26,0.13,0.06,0.17,0.12,0.09,0.06
自殺,0.66,0.61,0.38,0.09,0.34,0.30,0.19,0.08
腎不全,0.18,0.15,0.15,0.15,0.21,0.18,0.18,0.18
肝疾患,0.23,0.20,0.20,0.08,0.13,0.11,0.11,0.08
糖尿病,0.14,0.11,0.11,0.08,0.15,0.13,0.12,0.11
高血圧性疾患,0.05,0.03,0.03,0.03,0.08,0.06,0.06,0.06
結核,0.07,0.04,0.04,0.03,0.04,0.02,0.02,0.02
