
平成12年,都道府県別生命表,,（年）

表24003,特定死因を除去した場合の平均余命の延び　－三重県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.76,3.73,3.69,2.83,2.87,2.83,2.73,1.84
心疾患,1.58,1.53,1.48,1.19,1.69,1.67,1.66,1.58
脳血管疾患,1.28,1.25,1.25,1.14,1.51,1.50,1.49,1.42
３大死因（計）,8.46,8.45,8.36,6.96,7.69,7.67,7.55,6.41
肺炎,0.86,0.83,0.83,0.86,0.72,0.70,0.70,0.71
不慮の事故,1.00,0.78,0.55,0.32,0.58,0.48,0.37,0.30
（再掲）交通事故,0.54,0.37,0.20,0.08,0.26,0.19,0.11,0.06
自殺,0.71,0.65,0.39,0.08,0.32,0.28,0.17,0.08
腎不全,0.19,0.15,0.15,0.15,0.22,0.19,0.19,0.18
肝疾患,0.25,0.21,0.20,0.09,0.12,0.10,0.10,0.07
糖尿病,0.19,0.14,0.14,0.11,0.17,0.15,0.15,0.12
高血圧性疾患,0.08,0.04,0.04,0.04,0.11,0.08,0.09,0.09
結核,0.07,0.03,0.03,0.03,0.04,0.02,0.02,0.02
