
平成12年,都道府県別生命表,,（年）

表25003,特定死因を除去した場合の平均余命の延び　－滋賀県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.99,3.96,3.92,3.02,2.94,2.91,2.82,1.97
心疾患,1.43,1.40,1.36,1.14,1.77,1.75,1.73,1.67
脳血管疾患,1.11,1.10,1.10,0.95,1.42,1.41,1.40,1.33
３大死因（計）,8.20,8.16,8.08,6.67,8.07,8.05,7.92,6.85
肺炎,0.90,0.88,0.88,0.92,0.85,0.83,0.83,0.84
不慮の事故,0.86,0.70,0.49,0.31,0.48,0.41,0.35,0.27
（再掲）交通事故,0.43,0.33,0.18,0.08,0.18,0.15,0.10,0.05
自殺,0.62,0.60,0.37,0.08,0.29,0.26,0.17,0.07
腎不全,0.14,0.13,0.13,0.13,0.21,0.19,0.19,0.18
肝疾患,0.19,0.18,0.17,0.08,0.09,0.07,0.07,0.05
糖尿病,0.11,0.10,0.10,0.07,0.13,0.11,0.11,0.10
高血圧性疾患,0.04,0.03,0.03,0.03,0.10,0.09,0.09,0.09
結核,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01
