
平成12年,都道府県別生命表,,（年）

表26003,特定死因を除去した場合の平均余命の延び　－京都府－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.33,4.29,4.27,3.27,3.26,3.23,3.13,2.21
心疾患,1.60,1.57,1.50,1.21,1.83,1.79,1.78,1.69
脳血管疾患,1.16,1.14,1.12,0.96,1.50,1.48,1.47,1.38
３大死因（計）,9.07,9.04,8.94,7.31,8.61,8.58,8.45,7.23
肺炎,0.92,0.89,0.90,0.95,0.90,0.87,0.87,0.89
不慮の事故,0.71,0.58,0.38,0.23,0.37,0.31,0.25,0.21
（再掲）交通事故,0.36,0.26,0.13,0.05,0.15,0.10,0.07,0.04
自殺,0.71,0.68,0.45,0.10,0.36,0.32,0.20,0.06
腎不全,0.19,0.17,0.17,0.16,0.24,0.22,0.22,0.22
肝疾患,0.25,0.23,0.22,0.10,0.12,0.10,0.10,0.07
糖尿病,0.14,0.12,0.12,0.09,0.15,0.13,0.13,0.12
高血圧性疾患,0.06,0.03,0.03,0.03,0.09,0.07,0.07,0.07
結核,0.06,0.03,0.03,0.03,0.04,0.02,0.02,0.01
