
平成12年,都道府県別生命表,,（年）

表27003,特定死因を除去した場合の平均余命の延び　－大阪府－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.60,4.56,4.54,3.48,3.35,3.32,3.23,2.25
心疾患,1.53,1.49,1.43,1.17,1.83,1.80,1.78,1.72
脳血管疾患,1.05,1.03,1.02,0.89,1.29,1.27,1.27,1.18
３大死因（計）,9.13,9.10,9.02,7.41,8.37,8.34,8.23,6.99
肺炎,1.06,1.01,1.02,1.07,1.07,1.04,1.03,1.06
不慮の事故,0.63,0.51,0.36,0.21,0.37,0.30,0.26,0.21
（再掲）交通事故,0.28,0.20,0.09,0.04,0.11,0.07,0.05,0.02
自殺,0.80,0.74,0.49,0.10,0.37,0.33,0.19,0.07
腎不全,0.19,0.16,0.16,0.16,0.23,0.21,0.21,0.21
肝疾患,0.39,0.36,0.34,0.13,0.18,0.16,0.15,0.10
糖尿病,0.16,0.13,0.13,0.09,0.15,0.13,0.13,0.11
高血圧性疾患,0.10,0.07,0.07,0.06,0.13,0.11,0.11,0.10
結核,0.11,0.08,0.08,0.05,0.05,0.02,0.02,0.02
