
平成12年,都道府県別生命表,,（年）

表28003,特定死因を除去した場合の平均余命の延び　－兵庫県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.38,4.34,4.31,3.25,3.17,3.14,3.04,2.09
心疾患,1.51,1.47,1.43,1.20,1.79,1.76,1.75,1.69
脳血管疾患,1.13,1.11,1.10,0.98,1.33,1.31,1.30,1.22
３大死因（計）,8.90,8.88,8.81,7.22,8.00,7.97,7.85,6.65
肺炎,0.91,0.88,0.87,0.91,0.86,0.84,0.84,0.86
不慮の事故,0.76,0.62,0.45,0.27,0.45,0.36,0.31,0.26
（再掲）交通事故,0.33,0.25,0.14,0.05,0.15,0.10,0.07,0.04
自殺,0.77,0.71,0.45,0.09,0.35,0.31,0.19,0.07
腎不全,0.18,0.15,0.15,0.15,0.22,0.20,0.20,0.19
肝疾患,0.34,0.31,0.30,0.12,0.16,0.13,0.12,0.09
糖尿病,0.16,0.13,0.12,0.09,0.15,0.13,0.13,0.11
高血圧性疾患,0.07,0.04,0.04,0.04,0.10,0.08,0.08,0.08
結核,0.07,0.04,0.04,0.03,0.04,0.02,0.02,0.02
