
平成12年,都道府県別生命表,,（年）

表29003,特定死因を除去した場合の平均余命の延び　－奈良県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.25,4.23,4.20,3.24,3.04,2.99,2.86,2.01
心疾患,1.55,1.53,1.47,1.22,1.89,1.86,1.85,1.78
脳血管疾患,1.10,1.09,1.09,0.97,1.45,1.42,1.41,1.34
３大死因（計）,8.77,8.77,8.68,7.19,8.43,8.38,8.23,7.14
肺炎,0.89,0.87,0.88,0.91,0.86,0.83,0.84,0.86
不慮の事故,0.79,0.62,0.44,0.28,0.39,0.32,0.27,0.21
（再掲）交通事故,0.39,0.27,0.15,0.06,0.15,0.10,0.06,0.03
自殺,0.66,0.61,0.39,0.08,0.32,0.28,0.17,0.06
腎不全,0.16,0.14,0.14,0.13,0.21,0.18,0.18,0.17
肝疾患,0.28,0.24,0.23,0.09,0.14,0.12,0.11,0.09
糖尿病,0.15,0.13,0.12,0.08,0.16,0.13,0.13,0.11
高血圧性疾患,0.05,0.03,0.03,0.02,0.09,0.07,0.07,0.07
結核,0.06,0.04,0.04,0.02,0.04,0.01,0.01,0.01
