
平成12年,都道府県別生命表,,（年）

表30003,特定死因を除去した場合の平均余命の延び　－和歌山県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.20,4.19,4.16,3.10,2.97,2.92,2.85,1.92
心疾患,1.78,1.74,1.67,1.32,1.82,1.78,1.76,1.69
脳血管疾患,1.10,1.09,1.10,0.98,1.40,1.38,1.37,1.29
３大死因（計）,8.94,8.94,8.85,7.10,7.81,7.75,7.65,6.47
肺炎,0.83,0.80,0.81,0.86,0.74,0.72,0.72,0.72
不慮の事故,0.88,0.76,0.51,0.30,0.47,0.38,0.33,0.25
（再掲）交通事故,0.42,0.35,0.16,0.06,0.18,0.12,0.09,0.05
自殺,0.83,0.80,0.52,0.11,0.35,0.33,0.21,0.08
腎不全,0.15,0.12,0.13,0.13,0.21,0.18,0.18,0.18
肝疾患,0.30,0.28,0.26,0.09,0.16,0.14,0.14,0.09
糖尿病,0.12,0.11,0.11,0.08,0.13,0.11,0.10,0.08
高血圧性疾患,0.05,0.03,0.03,0.03,0.11,0.08,0.09,0.08
結核,0.06,0.05,0.04,0.04,0.04,0.01,0.01,0.01
