
平成12年,都道府県別生命表,,（年）

表31003,特定死因を除去した場合の平均余命の延び　－鳥取県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.20,4.20,4.15,2.96,3.03,3.01,2.90,1.95
心疾患,1.54,1.50,1.43,1.22,1.67,1.64,1.62,1.57
脳血管疾患,1.36,1.34,1.35,1.21,1.67,1.67,1.64,1.56
３大死因（計）,9.20,9.20,9.10,7.38,8.48,8.46,8.29,7.10
肺炎,0.85,0.82,0.81,0.85,0.65,0.65,0.65,0.66
不慮の事故,0.88,0.73,0.53,0.30,0.54,0.43,0.37,0.27
（再掲）交通事故,0.37,0.30,0.17,0.07,0.19,0.15,0.10,0.07
自殺,0.76,0.71,0.44,0.07,0.28,0.26,0.17,0.06
腎不全,0.15,0.12,0.12,0.13,0.19,0.18,0.18,0.17
肝疾患,0.28,0.26,0.26,0.09,0.10,0.09,0.08,0.06
糖尿病,0.20,0.17,0.16,0.10,0.10,0.09,0.09,0.07
高血圧性疾患,0.06,0.03,0.03,0.02,0.08,0.07,0.07,0.07
結核,0.04,0.01,0.01,0.01,0.03,0.02,0.02,0.01
