
平成12年,都道府県別生命表,,（年）

表32003,特定死因を除去した場合の平均余命の延び　－島根県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.17,4.13,4.10,3.05,2.91,2.85,2.77,1.89
心疾患,1.36,1.32,1.25,1.01,1.51,1.50,1.49,1.44
脳血管疾患,1.29,1.26,1.26,1.09,1.46,1.45,1.44,1.33
３大死因（計）,8.41,8.38,8.28,6.66,7.45,7.42,7.33,6.19
肺炎,0.86,0.80,0.81,0.82,0.70,0.67,0.67,0.67
不慮の事故,0.91,0.76,0.54,0.27,0.52,0.41,0.31,0.24
（再掲）交通事故,0.44,0.34,0.16,0.06,0.24,0.16,0.09,0.05
自殺,1.02,0.92,0.55,0.12,0.36,0.30,0.20,0.08
腎不全,0.18,0.14,0.14,0.13,0.19,0.16,0.17,0.15
肝疾患,0.28,0.24,0.23,0.08,0.11,0.08,0.08,0.06
糖尿病,0.13,0.10,0.10,0.08,0.12,0.10,0.10,0.08
高血圧性疾患,0.06,0.03,0.03,0.02,0.09,0.07,0.06,0.06
結核,0.06,0.03,0.03,0.03,0.04,0.01,0.01,0.01
