
平成12年,都道府県別生命表,,（年）

表33003,特定死因を除去した場合の平均余命の延び　－岡山県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.92,3.90,3.87,2.91,2.80,2.77,2.68,1.84
心疾患,1.59,1.54,1.45,1.14,1.61,1.59,1.55,1.47
脳血管疾患,1.31,1.29,1.28,1.10,1.57,1.56,1.55,1.46
３大死因（計）,8.54,8.52,8.40,6.77,7.53,7.51,7.37,6.25
肺炎,1.01,0.98,0.99,1.02,0.98,0.96,0.95,0.97
不慮の事故,1.01,0.80,0.55,0.32,0.47,0.39,0.33,0.24
（再掲）交通事故,0.52,0.36,0.19,0.09,0.20,0.15,0.11,0.06
自殺,0.69,0.64,0.40,0.08,0.32,0.28,0.18,0.05
腎不全,0.19,0.15,0.16,0.15,0.22,0.20,0.20,0.20
肝疾患,0.28,0.25,0.24,0.11,0.13,0.11,0.11,0.09
糖尿病,0.18,0.14,0.14,0.09,0.13,0.12,0.11,0.10
高血圧性疾患,0.06,0.02,0.02,0.02,0.07,0.05,0.06,0.06
結核,0.05,0.02,0.02,0.02,0.03,0.02,0.02,0.01
