
平成12年,都道府県別生命表,,（年）

表34003,特定死因を除去した場合の平均余命の延び　－広島県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.36,4.32,4.28,3.26,3.02,2.97,2.88,2.00
心疾患,1.56,1.51,1.45,1.18,1.76,1.72,1.70,1.63
脳血管疾患,1.20,1.18,1.17,1.01,1.46,1.44,1.44,1.35
３大死因（計）,8.89,8.85,8.75,7.10,7.99,7.93,7.82,6.67
肺炎,0.89,0.86,0.87,0.92,0.86,0.84,0.83,0.84
不慮の事故,0.85,0.67,0.47,0.28,0.46,0.37,0.31,0.24
（再掲）交通事故,0.40,0.28,0.15,0.06,0.17,0.13,0.09,0.05
自殺,0.72,0.67,0.44,0.09,0.29,0.26,0.17,0.06
腎不全,0.19,0.16,0.16,0.15,0.21,0.19,0.18,0.17
肝疾患,0.31,0.28,0.27,0.11,0.15,0.13,0.13,0.09
糖尿病,0.16,0.13,0.13,0.10,0.14,0.12,0.12,0.11
高血圧性疾患,0.06,0.03,0.03,0.03,0.09,0.07,0.07,0.07
結核,0.06,0.03,0.03,0.02,0.03,0.01,0.01,0.01
