
平成12年,都道府県別生命表,,（年）

表36003,特定死因を除去した場合の平均余命の延び　－徳島県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.90,3.87,3.81,2.85,2.93,2.90,2.80,1.90
心疾患,1.76,1.71,1.66,1.32,1.80,1.77,1.74,1.65
脳血管疾患,1.36,1.33,1.33,1.19,1.48,1.46,1.46,1.39
３大死因（計）,9.03,9.00,8.89,7.28,7.82,7.80,7.66,6.49
肺炎,0.87,0.84,0.84,0.88,0.96,0.93,0.94,0.97
不慮の事故,0.94,0.75,0.54,0.29,0.47,0.41,0.34,0.24
（再掲）交通事故,0.44,0.33,0.19,0.08,0.21,0.15,0.10,0.06
自殺,0.62,0.57,0.33,0.09,0.27,0.23,0.16,0.05
腎不全,0.21,0.17,0.17,0.16,0.21,0.18,0.19,0.18
肝疾患,0.31,0.28,0.27,0.12,0.18,0.16,0.16,0.10
糖尿病,0.23,0.20,0.19,0.13,0.21,0.18,0.18,0.15
高血圧性疾患,0.07,0.03,0.04,0.03,0.09,0.06,0.06,0.07
結核,0.07,0.04,0.04,0.03,0.05,0.02,0.02,0.02
