
平成12年,都道府県別生命表,,（年）

表37003,特定死因を除去した場合の平均余命の延び　－香川県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.99,3.96,3.94,3.03,2.86,2.85,2.74,1.84
心疾患,1.63,1.59,1.50,1.17,1.76,1.74,1.72,1.61
脳血管疾患,1.16,1.13,1.14,1.04,1.53,1.51,1.49,1.42
３大死因（計）,8.51,8.49,8.40,6.90,7.87,7.86,7.71,6.51
肺炎,0.98,0.94,0.95,0.99,1.02,1.00,1.00,1.03
不慮の事故,1.02,0.84,0.59,0.32,0.57,0.47,0.38,0.29
（再掲）交通事故,0.56,0.43,0.24,0.11,0.29,0.22,0.15,0.09
自殺,0.72,0.64,0.35,0.06,0.30,0.28,0.16,0.05
腎不全,0.19,0.15,0.16,0.14,0.21,0.20,0.20,0.20
肝疾患,0.29,0.26,0.25,0.10,0.15,0.14,0.13,0.09
糖尿病,0.17,0.14,0.14,0.10,0.14,0.13,0.13,0.10
高血圧性疾患,0.07,0.03,0.03,0.03,0.08,0.06,0.06,0.06
結核,0.05,0.02,0.02,0.01,0.04,0.02,0.02,0.02
