
平成12年,都道府県別生命表,,（年）

表38003,特定死因を除去した場合の平均余命の延び　－愛媛県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.09,4.07,4.03,2.98,2.93,2.91,2.77,1.88
心疾患,1.85,1.81,1.71,1.33,1.97,1.95,1.93,1.82
脳血管疾患,1.28,1.26,1.25,1.14,1.53,1.52,1.52,1.44
３大死因（計）,9.31,9.30,9.15,7.43,8.32,8.31,8.15,6.96
肺炎,0.89,0.85,0.85,0.89,0.81,0.78,0.78,0.79
不慮の事故,0.98,0.83,0.58,0.34,0.54,0.46,0.36,0.28
（再掲）交通事故,0.51,0.40,0.21,0.09,0.23,0.17,0.11,0.07
自殺,0.80,0.74,0.46,0.09,0.31,0.28,0.19,0.06
腎不全,0.17,0.15,0.15,0.14,0.21,0.19,0.19,0.18
肝疾患,0.33,0.30,0.28,0.10,0.14,0.12,0.12,0.09
糖尿病,0.18,0.15,0.14,0.09,0.16,0.14,0.14,0.11
高血圧性疾患,0.06,0.03,0.04,0.03,0.07,0.05,0.05,0.05
結核,0.05,0.02,0.02,0.02,0.03,0.01,0.01,0.01
