
平成12年,都道府県別生命表,,（年）

表39003,特定死因を除去した場合の平均余命の延び　－高知県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.93,3.90,3.87,2.87,2.92,2.85,2.73,1.90
心疾患,1.69,1.66,1.55,1.27,1.85,1.82,1.81,1.70
脳血管疾患,1.38,1.36,1.35,1.18,1.79,1.78,1.77,1.64
３大死因（計）,8.96,8.95,8.81,7.18,8.83,8.76,8.61,7.44
肺炎,1.00,0.96,0.97,1.03,0.95,0.94,0.93,0.95
不慮の事故,1.17,0.96,0.67,0.33,0.58,0.46,0.41,0.32
（再掲）交通事故,0.53,0.38,0.19,0.06,0.22,0.13,0.10,0.06
自殺,0.82,0.76,0.52,0.10,0.30,0.27,0.18,0.06
腎不全,0.22,0.17,0.18,0.17,0.22,0.21,0.21,0.20
肝疾患,0.32,0.30,0.30,0.12,0.14,0.13,0.12,0.09
糖尿病,0.17,0.14,0.13,0.08,0.10,0.09,0.09,0.08
高血圧性疾患,0.05,0.02,0.02,0.02,0.06,0.05,0.05,0.04
結核,0.06,0.03,0.03,0.02,0.03,0.02,0.02,0.01
