
平成12年,都道府県別生命表,,（年）

表40003,特定死因を除去した場合の平均余命の延び　－福岡県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.49,4.46,4.44,3.37,3.34,3.31,3.21,2.26
心疾患,1.27,1.24,1.21,1.01,1.56,1.51,1.49,1.44
脳血管疾患,1.15,1.13,1.13,0.98,1.48,1.46,1.45,1.37
３大死因（計）,8.63,8.61,8.56,7.00,8.20,8.17,8.04,6.85
肺炎,1.02,0.98,0.99,1.06,1.02,0.99,0.99,1.01
不慮の事故,0.82,0.67,0.47,0.28,0.48,0.39,0.34,0.25
（再掲）交通事故,0.37,0.27,0.13,0.05,0.15,0.10,0.07,0.05
自殺,0.84,0.79,0.52,0.10,0.34,0.30,0.19,0.06
腎不全,0.16,0.14,0.14,0.13,0.21,0.18,0.18,0.19
肝疾患,0.32,0.29,0.29,0.11,0.16,0.14,0.13,0.09
糖尿病,0.16,0.14,0.14,0.09,0.14,0.12,0.11,0.10
高血圧性疾患,0.08,0.06,0.06,0.05,0.13,0.10,0.10,0.10
結核,0.06,0.04,0.04,0.03,0.04,0.02,0.02,0.02
