
平成12年,都道府県別生命表,,（年）

表41003,特定死因を除去した場合の平均余命の延び　－佐賀県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.44,4.40,4.39,3.29,3.25,3.19,3.08,2.14
心疾患,1.45,1.37,1.30,1.07,1.53,1.51,1.49,1.43
脳血管疾患,1.18,1.12,1.13,1.02,1.57,1.55,1.55,1.45
３大死因（計）,8.91,8.88,8.82,7.22,8.12,8.08,7.95,6.74
肺炎,0.97,0.91,0.92,0.98,1.06,1.03,1.03,1.05
不慮の事故,0.97,0.77,0.52,0.29,0.53,0.42,0.33,0.25
（再掲）交通事故,0.57,0.40,0.19,0.09,0.25,0.16,0.11,0.06
自殺,0.93,0.85,0.55,0.09,0.29,0.25,0.18,0.05
腎不全,0.16,0.10,0.09,0.09,0.19,0.15,0.15,0.15
肝疾患,0.36,0.30,0.28,0.13,0.16,0.13,0.13,0.10
糖尿病,0.20,0.14,0.14,0.09,0.13,0.10,0.09,0.08
高血圧性疾患,0.12,0.06,0.06,0.06,0.14,0.11,0.11,0.11
結核,0.09,0.03,0.03,0.02,0.05,0.02,0.02,0.01
