
平成12年,都道府県別生命表,,（年）

表42003,特定死因を除去した場合の平均余命の延び　－長崎県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.39,4.35,4.29,3.29,3.15,3.14,3.02,2.07
心疾患,1.45,1.38,1.35,1.08,1.71,1.67,1.67,1.62
脳血管疾患,1.22,1.19,1.18,1.05,1.48,1.46,1.45,1.35
３大死因（計）,8.89,8.82,8.74,7.18,8.25,8.22,8.08,6.88
肺炎,0.93,0.90,0.91,0.95,0.88,0.84,0.84,0.87
不慮の事故,0.84,0.68,0.46,0.23,0.40,0.34,0.28,0.20
（再掲）交通事故,0.35,0.25,0.13,0.05,0.11,0.08,0.05,0.03
自殺,0.83,0.77,0.51,0.08,0.31,0.29,0.18,0.05
腎不全,0.17,0.14,0.14,0.14,0.19,0.18,0.18,0.17
肝疾患,0.30,0.27,0.25,0.10,0.12,0.10,0.10,0.07
糖尿病,0.14,0.11,0.10,0.07,0.11,0.09,0.09,0.08
高血圧性疾患,0.08,0.04,0.04,0.04,0.12,0.10,0.10,0.10
結核,0.07,0.04,0.03,0.03,0.03,0.01,0.01,0.01
