
平成12年,都道府県別生命表,,（年）

表43003,特定死因を除去した場合の平均余命の延び　－熊本県－

,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.91,3.88,3.83,2.95,2.91,2.89,2.77,1.91
心疾患,1.52,1.46,1.41,1.14,1.63,1.62,1.63,1.56
脳血管疾患,1.25,1.21,1.20,1.04,1.41,1.39,1.38,1.28
３大死因（計）,8.40,8.36,8.26,6.79,7.52,7.51,7.38,6.26
肺炎,1.01,0.96,0.96,1.02,0.93,0.90,0.90,0.93
不慮の事故,0.90,0.75,0.52,0.27,0.46,0.37,0.30,0.23
（再掲）交通事故,0.44,0.33,0.17,0.07,0.19,0.14,0.09,0.05
自殺,0.81,0.75,0.50,0.10,0.35,0.31,0.19,0.07
腎不全,0.20,0.17,0.17,0.16,0.23,0.21,0.22,0.22
肝疾患,0.27,0.24,0.23,0.10,0.13,0.11,0.11,0.08
糖尿病,0.15,0.12,0.11,0.08,0.13,0.11,0.11,0.10
高血圧性疾患,0.08,0.04,0.04,0.04,0.10,0.08,0.09,0.08
結核,0.07,0.03,0.03,0.02,0.03,0.01,0.01,0.01
