
平成12年,都道府県別生命表,,（年）

表44003,特定死因を除去した場合の平均余命の延び　－大分県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.84,3.82,3.77,2.86,2.83,2.81,2.69,1.84
心疾患,1.60,1.56,1.50,1.18,1.78,1.75,1.72,1.65
脳血管疾患,1.26,1.24,1.23,1.09,1.52,1.50,1.49,1.40
３大死因（計）,8.49,8.47,8.36,6.81,7.89,7.87,7.71,6.59
肺炎,0.80,0.77,0.78,0.81,0.80,0.78,0.78,0.79
不慮の事故,0.88,0.71,0.48,0.26,0.40,0.31,0.26,0.19
（再掲）交通事故,0.41,0.30,0.16,0.07,0.14,0.11,0.09,0.05
自殺,0.77,0.70,0.47,0.09,0.33,0.29,0.19,0.06
腎不全,0.17,0.14,0.14,0.14,0.19,0.16,0.16,0.15
肝疾患,0.28,0.26,0.25,0.10,0.14,0.12,0.11,0.07
糖尿病,0.16,0.13,0.13,0.09,0.14,0.12,0.11,0.10
高血圧性疾患,0.07,0.04,0.04,0.04,0.11,0.09,0.09,0.09
結核,0.06,0.03,0.03,0.03,0.05,0.02,0.02,0.02
