
平成12年,都道府県別生命表,,（年）

表45003,特定死因を除去した場合の平均余命の延び　－宮崎県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,4.04,4.02,3.97,3.00,2.91,2.86,2.76,1.85
心疾患,1.53,1.50,1.45,1.20,1.79,1.77,1.76,1.70
脳血管疾患,1.33,1.31,1.30,1.12,1.79,1.76,1.76,1.64
３大死因（計）,8.88,8.87,8.78,7.21,8.44,8.41,8.30,7.09
肺炎,0.87,0.83,0.84,0.88,1.01,0.99,0.98,1.01
不慮の事故,0.98,0.81,0.52,0.27,0.38,0.33,0.27,0.21
（再掲）交通事故,0.50,0.39,0.18,0.07,0.18,0.14,0.10,0.06
自殺,0.98,0.94,0.61,0.14,0.38,0.33,0.24,0.11
腎不全,0.17,0.15,0.15,0.14,0.22,0.19,0.20,0.20
肝疾患,0.28,0.25,0.23,0.09,0.15,0.13,0.12,0.09
糖尿病,0.13,0.11,0.11,0.07,0.12,0.09,0.09,0.08
高血圧性疾患,0.07,0.04,0.04,0.04,0.10,0.07,0.07,0.07
結核,0.06,0.03,0.03,0.03,0.05,0.02,0.02,0.01
