
平成12年,都道府県別生命表,,（年）

表46003,特定死因を除去した場合の平均余命の延び　－鹿児島県－

死因 ,男,,,,女,,,
,0歳,20,40,65,0歳,20,40,65

悪性新生物,3.91,3.88,3.85,2.88,2.88,2.85,2.73,1.88
心疾患,1.50,1.41,1.35,1.07,1.63,1.59,1.58,1.50
脳血管疾患,1.48,1.44,1.43,1.20,1.72,1.70,1.69,1.54
３大死因（計）,8.59,8.53,8.44,6.78,7.96,7.93,7.79,6.60
肺炎,0.97,0.93,0.93,0.98,1.01,0.98,0.98,1.00
不慮の事故,0.84,0.66,0.49,0.26,0.45,0.32,0.28,0.21
（再掲）交通事故,0.38,0.25,0.14,0.06,0.16,0.09,0.07,0.04
自殺,0.89,0.82,0.56,0.10,0.32,0.28,0.20,0.07
腎不全,0.21,0.16,0.16,0.15,0.23,0.21,0.21,0.20
肝疾患,0.33,0.28,0.26,0.10,0.17,0.14,0.14,0.09
糖尿病,0.16,0.12,0.11,0.08,0.16,0.13,0.13,0.11
高血圧性疾患,0.08,0.03,0.03,0.03,0.08,0.05,0.05,0.05
結核,0.07,0.02,0.02,0.02,0.04,0.01,0.01,0.01
