

平成１７年,都道府県別生命表,,（年）

表00003　特定死因を除去した場合の平均余命の延び　－全国－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.10,4.08,4.05,3.15,2.10,3.12,3.09,2.99,2.10,1.47
心疾患,1.61,1.57,1.52,1.22,1.03,1.79,1.76,1.75,1.68,1.59
脳血管疾患,1.15,1.13,1.12,0.95,0.84,1.34,1.33,1.32,1.23,1.15
肺炎,0.95,0.92,0.93,0.98,1.01,0.91,0.89,0.89,0.91,0.91
不慮の事故,0.66,0.55,0.40,0.25,0.19,0.39,0.32,0.28,0.22,0.18
（再掲）交通事故,0.27,0.20,0.11,0.05,0.03,0.12,0.08,0.06,0.04,0.02
自殺,0.79,0.74,0.45,0.09,0.04,0.36,0.32,0.18,0.06,0.03
腎不全,0.17,0.15,0.15,0.14,0.13,0.21,0.19,0.19,0.18,0.18
肝疾患,0.27,0.25,0.24,0.10,0.05,0.14,0.12,0.11,0.08,0.06
糖尿病,0.15,0.13,0.13,0.09,0.06,0.14,0.12,0.12,0.10,0.08
高血圧性疾患,0.06,0.03,0.03,0.03,0.03,0.08,0.06,0.06,0.06,0.06
結核,0.05,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,8.65,8.63,8.54,7.01,5.40,8.03,8.00,7.88,6.73,5.80

