

平成１７年,都道府県別生命表,,（年）

表01003　特定死因を除去した場合の平均余命の延び　－北海道－

注：３大死因とは、悪性新生物、心疾患、脳血管疾患である。

死因,男,,,,,女,,,,
,0歳,20,40,65,75,0歳,20,40,65,75

悪性新生物,4.36,4.33,4.33,3.39,2.30,3.42,3.38,3.27,2.30,1.67
心疾患,1.69,1.65,1.58,1.25,1.05,1.97,1.95,1.93,1.86,1.76
脳血管疾患,1.15,1.13,1.11,0.93,0.81,1.33,1.31,1.31,1.19,1.11
肺炎,0.92,0.90,0.91,0.96,1.01,0.91,0.89,0.89,0.91,0.92
不慮の事故,0.77,0.64,0.42,0.21,0.15,0.38,0.31,0.23,0.17,0.13
（再掲）交通事故,0.32,0.24,0.12,0.04,0.02,0.12,0.08,0.06,0.03,0.02
自殺,0.94,0.87,0.53,0.08,0.04,0.38,0.35,0.19,0.06,0.03
腎不全,0.21,0.19,0.19,0.18,0.17,0.28,0.26,0.26,0.26,0.25
肝疾患,0.21,0.19,0.18,0.08,0.04,0.13,0.11,0.11,0.08,0.05
糖尿病,0.16,0.13,0.13,0.10,0.07,0.16,0.14,0.14,0.13,0.11
高血圧性疾患,0.05,0.02,0.02,0.02,0.02,0.06,0.04,0.04,0.04,0.04
結核,0.04,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01
３大死因,9.21,9.19,9.09,7.46,5.79,8.87,8.85,8.70,7.44,6.50

